SCHOOL_DISTRICT_NUMBER,SCHOOL_DISTRICT_NAME,PROGRAM_NUMBER,PROGRAM_TYPE,FACILITY_NAME,FACILITY_ADDRESS,FACILITY_CITY,FACILITY_POSTAL_CODE,PROGRAM_PHONE_NUMBER,PROGRAM_FAX_NUMBER,LATITUDE,LONGITUDE
71,Comox Valley,7125014,Early Learning Program,Queneesh StrongStart Centre,2345 Mission Rd,Courtenay,,250 334-4089,,49.71349337,-124.9734494
5,Southeast Kootenay,525204,Early Learning Program,Frank J Mitchell StrongStart Centre,101 Blue Spruce Cres.,Sparwood,,250 425-7818,250 425-2426,49.7361573,-114.8928227
47,Powell River,4725147,Early Learning Program,Kelly Creek StrongStart Centre,2341 Zilinsky Rd RR 3,Powell River,,604 487-9022,,49.77891341,-124.3765874
84,Vancouver Island West,8425078,Early Learning Program,Ray Watkins StrongStart Centre,500 Trumpeter Dr,Gold River,,250 283-2241,250 283-7352,49.78318018,-126.0516858
23,Central Okanagan,2325413,Early Learning Program,Peachland StrongStart Centre,5486 Clements Cres,Peachland,,250 870-5122,250 870-5051,49.78650472,-119.7176836
23,Central Okanagan,2325094,Early Learning Program,George Pringle StrongStart Centre,3770 Elliot Rd,Westbank,,250 870-5103,,49.8272,-119.632
78,Fraser-Cascade,7825073,Early Learning Program,Boston Bar StrongStart Centre,47632 Old Boston Bar Rd,Boston Bar,,604 867-9222,,49.86130922,-121.4417303
23,Central Okanagan,2325214,Early Learning Program,Hudson Road StrongStart Centre,1221 Hudson Rd,Kelowna,,250 870-5141,250 870-5037,49.8614,-119.565
23,Central Okanagan,2325216,Early Learning Program,Raymer StrongStart Centre,657 Raymer Ave,Kelowna,,250 870-5125,,49.8651826,-119.4890325
47,Powell River,4725049,Early Learning Program,Henderson StrongStart Centre,5506 Willow Ave,Powell River,,604 483-9162,,49.8655,-124.544
23,Central Okanagan,2325033,Early Learning Program,A S Matheson StrongStart Centre,2090 Gordon Dr,Kelowna,,250 870-5112,,49.8760059,-119.4779193
23,Central Okanagan,2325213,Early Learning Program,South Rutland StrongStart Centre,200 Mallach Rd,Kelowna,,250 870-5113,,49.8874659,-119.3818469
23,Central Okanagan,2325093,Early Learning Program,Pearson Road StrongStart Centre,700 Pearson Rd,Kelowna,,250 870-5118,250 870-5049,49.8988556,-119.3994835
72,Campbell River,7225070,Early Learning Program,Georgia Park StrongStart Centre,678 Hudson Rd,Campbell River,,250 923-0735,,49.96428806,-125.2296909
72,Campbell River,7225300,Early Learning Program,Sandowne StrongStart Centre,699 Sandowne Dr,Campbell River,,250 923-4248,,49.99034265,-125.243571
10,Arrow Lakes,1025091,Early Learning Program,Lucerne StrongStart Centre,604 7th Avenue,New Denver,,250 265-3638,250 358-2533,49.9926095,-117.3702659
72,Campbell River,7225069,Early Learning Program,Cedar StrongStart Centre,261 Cedar St,Campbell River,,250 287-8335,,50.01245764,-125.2447193
23,Central Okanagan,2325215,Early Learning Program,Peter Greer StrongStart Centre,10300 Sherman Dr,Winfield,,250 870-5129,,50.0317533,-119.3891771
58,Nicola-Similkameen,5825023,Early Learning Program,Diamond Vale StrongStart Centre,2675 Coldwater Ave,Merritt,,250 378-2514,,50.10352316,-120.7754088
58,Nicola-Similkameen,5825282,Early Learning Program,Merritt Central StrongStart Centre,1501 Voght St,Merritt,,250 378-9931,250 378-6804,50.10742195,-120.7927386
58,Nicola-Similkameen,5825157,Early Learning Program,Nicola Canford StrongStart Centre,2311 Postell Rd SS 2,Lower Nicola,,250 378-2172,250 378-5270,50.152,-120.883
22,Vernon,2225313,Early Learning Program,Okanagan Landing StrongStart Centre,7322 Grant Rd,Vernon,,250 542-1181,250 542-5047,50.2369,-119.344
10,Arrow Lakes,1025031,Early Learning Program,Nakusp StrongStart Centre,619 A 4th St NW,Nakusp,,250 256-3638,250 265-3081,50.2442064,-117.803489
22,Vernon,2225279,Early Learning Program,Alexis Park AM StrongStart Centre,4205 35 St,Vernon,,250 545-7289,250 558-3610,50.2738,-119.279
22,Vernon,2225018,Early Learning Program,Alexis Park PM StrongStart Centre,4205 35 St,Vernon,,250 545-7289,250 558-3610,50.27721417,-119.2612638
48,Sea to Sky,4825148,Early Learning Program,Signal Hill StrongStart Centre,1410 Portage Rd,Pemberton,,604 894-6378,,50.31904952,-122.8044544
83,North Okanagan-Shuswap,8325309,Early Learning Program,Highland Park StrongStart Centre,3200 Wood Ave,Armstrong,,250 546-8723,250 804-7788,50.44984451,-119.2015086
85,Vancouver Island North,8525081,Early Learning Program,Cheslakees StrongStart Centre,2853 Mine Rd,Port Mcneill,,250 956-3411,,50.5802,-127.065
73,Kamloops-Thompson,7325302,Early Learning Program,Beattie StrongStart Centre,492 McGill Rd,Kamloops,,250 374-0608,250 377-2242,50.67018569,-120.3523116
73,Kamloops-Thompson,7325177,Early Learning Program,Marion Schilling StrongStart Centre,2200 Park Dr,Kamloops,,250 372-7795,,50.67615243,-120.2553362
