,name,city,full_address,provider
56,Kids Care,Yellowknife,4911 46th Street,Northwest Territories
57,Johnny Arrowmaker Day Care,Gameti,none,Northwest Territories
58,Kids Corner Daycare,Fort Simpson,none,Northwest Territories
59,Inuvik Youth Centre Society,Inuvik,none,Northwest Territories
60,Fort Smith Daycare,Fort Smith NT,108 King St. (Rec Centre Building),Northwest Territories
61,Inuvik Aboriginal Head Start,Inuvik,none,Northwest Territories
63,Precious Little Children Day Home,Yellowknife,129 Stinson Road,Northwest Territories
65,NWT Montessori Society - Mildred Hall Casa #323,Yellowknife,NJ MacPherson School,Northwest Territories
67,Le Coffre aux Tresors,Yellowknife,none,Northwest Territories
70,Lilys Pad Dayhome,Yellowknife,40 England Crescent,Northwest Territories
71,Magical Memories Day Home,Yellowknife,none,Northwest Territories
72,Little Jules Day Home,Yellowknife,none,Northwest Territories
74,Little Steps Day Home,Yellowknife NT,none,Northwest Territories
75,Lil Wiilideh Champions Day Care,Ndilo,none,Northwest Territories
76,Open Doors Society Preschool,Fort Simpson,none,Northwest Territories
77,NWT Montessori Society - NJ MacPherson #251,Yellowknife,NJ MacPherson School,Northwest Territories
82,Sancie's Family Day Home,Hay River,none,Northwest Territories
84,Little Walkers Dayhome,Yellowknife,none,Northwest Territories
85,NihKanis Aboriginal Head Start,Fort Smith,none,Northwest Territories
86,Northern Star Day Home,Yellowknife NT,227 Niven Drive,Northwest Territories
89,Open Doors Society Afterschool Program,Fort Simpson,none,Northwest Territories
90,Lil' Darlin' Daycare,Fort Resolution,none,Northwest Territories
91,Paulatuk Aboriginal Head Start,Paulatuk,none,Northwest Territories
92,NWT Montessori Society - Downtown Location,Yellowknife,5212 52nd Street,Northwest Territories
93,Little People Dayhome,Hay River,none,Northwest Territories
94,NWT Montessori Society - NJ MacPherson #360,Yellowknife,NJ MacPherson School,Northwest Territories
98,Mes P'tits Amis du Nord,Yellowknife NT,none,Northwest Territories
99,Precious Reio Family Day Home,Yellowknife,none,Northwest Territories
104,Northern Lights Day Home,Inuvik,none,Northwest Territories
105,Melabert Home Day Care,Yellowknife,none,Northwest Territories
109,Leann's Day Home,Yellowknife,none,Northwest Territories
114,Teddy Bear Day Care,Yellowknife,none,Northwest Territories
116,Shirley's Day Home,Hay River,none,Northwest Territories
120,Tempie's Dayhome,Yellowknife,none,Northwest Territories
121,What Day Care,Whati,none,Northwest Territories
122,Wekwet Preschool,Wekwet,none,Northwest Territories
125,Tuktoyaktuk Child Development Centre,Tuktoyaktuk,none,Northwest Territories
129,The Raven's Nest,Yellowknife,none,Northwest Territories
134,Vera's Dayhome,Yellowknife,none,Northwest Territories
136,Tetlit Zheh Child Centre,Fort McPherson,none,Northwest Territories
137,Savannah's Covey Care,Yellowknife,none,Northwest Territories
140,Ton of Fun Day Home,Yellowknife,2-496 Range Lake Road,Northwest Territories
148,Stepping Stones Family Day Home,Yellowknife,none,Northwest Territories
150,Town of Fort Smith After School Program,Fort Smith,none,Northwest Territories
151,Ulukhaktok Child Development Centre,Ulukhaktok,none,Northwest Territories
152,Village Day Home,Yellowknife,none,Northwest Territories
155,Yaya's BFF Day Home,Hay River,none,Northwest Territories
156,Wonder Years Day Home,Yellowknife,none,Northwest Territories
157,Sister Celeste Child Development Centre,Tulita,none,Northwest Territories
160,Triple A Day Home,Yellowknife,none,Northwest Territories
162,Setsi'e Frederick Daycare,Hay River,10 Caribou Crescent,Northwest Territories
164,Tch Day Care Centre,Behchoko,none,Northwest Territories
171,Small Explorers Day Home,Yellowknife,none,Northwest Territories
178,Tiny Treasures Dayhome,Yellowknife,none,Northwest Territories
181,Warmth and Wonder Day Home,Fort Smith,none,Northwest Territories
185,Tsiigehtchic Day Care,Tsiigehtchic NT,none,Northwest Territories
187,YWCA Afterschool Program-Weledeh School 249,Yellowknife,none,Northwest Territories
192,YWCA Afterschool Program-cole St. Joseph School 363,Yellowknife,none,Northwest Territories
197,Yvette's Day Home,Yellowknife,none,Northwest Territories
205,YWCA Afterschool Program-cole J.H. Sissons 256,Yellowknife,none,Northwest Territories
206,YWCA Afterschool Program-Range Lake North 325,Yellowknife,none,Northwest Territories
212,YWCA Afterschool Program Ecole J.H. Sissons 396,Yellowknife,none,Northwest Territories
215,Yellowknife Daycare Association Afterschool Program,Yellowknife,none,Northwest Territories
216,YWCA Afterschool Program-NJ MacPherson 357,Yellowknife,none,Northwest Territories
228,Yellowknife Daycare Association,Yellowknife,none,Northwest Territories
229,YWCA Afterschool Program-Mildred Hall School 98,Yellowknife,none,Northwest Territories
237,YWCA Afterschool Program Ecole J.H. Sissons 409,Yellowknife NT,none,Northwest Territories
239,YWCA Afterschool Program-Ecole St. Joseph School 254,Yellowknife,none,Northwest Territories
245,YWCA Afterschool Program Ecole J.H. Sissons 395,Yellowknife,none,Northwest Territories
250,Yellowknife Playschool Association,Yellowknife,none,Northwest Territories
251,YWCA Afterschool Program NJ MacPherson 400,Yellowknife,none,Northwest Territories
256,YWCA Afterschool Program-Weledeh School 362,Yellowknife,none,Northwest Territories
259,YWCA Afterschool Program-cole J.H. Sissons 6,Yellowknife,none,Northwest Territories
261,YWCA Afterschool Program-cole St. Joseph School 368,Yellowknife,none,Northwest Territories
268,YWCA Afterschool Program-Range Lake North 100,Yellowknife,none,Northwest Territories
279,YWCA Afterschool Program-NJ MacPherson Senior 148,Yellowknife,none,Northwest Territories
