,name,source_full_address,full_address,street_number,street_name,unit,city,province,provider
18587,Centre De La Petite Enfance La Butte ÃÄ Moineaux,575 Rue Sainte-HÃ©lÃ¨ne QuÃ©bec QC,"575 Rue Sainte HÃ©lÃ¨ne QuÃ©bec QC, Canada",575,rue sainte,,Quebec,Quebec,GoDayCare.com
14876,Windham Ridge YMCA Before and After School Program,,nan,32,Red Cardinal Trail,,Richmond Hill,ON,Province of Ontario
7292,CENTRE DE LA PETITE ENFANCE LA CACHETTE,"1650, montée Monette",1650 montée Monette,1650,montée monette,,Laval,,Province of Quèbec
3525,CHARLESWOOD DAY NURSERY LTD.,385 CAPRI AVENUE NW,385 CAPRI AVENUE NW,385,capri avenue nw,,CALGARY,,Province of Alberta
2871,THE LEARNING SEED AFTERSCHOOL PROGRAM,13620 93 STREET,13620 93 STREET,13620,93 street,,EDMONTON,,Province of Alberta
9191,Attawapiskat - Paytabun Child Care Centre,,nan,,P.O. Box 248,,Attawapiskat,ON,Province of Ontario
8955,ACW- St. Andrew,,nan,16,St.Andrew's Avenue,,Welland,ON,Province of Ontario
10425,Edukids Day Care Centre of Norfolk,,nan,227,Main Street,,Waterford,ON,Province of Ontario
1951,THE GLENCOE CLUB PRESCHOOL PROGRAM,636 - 29 AVE SW,636 29 AVE SW,636,29 ave sw,,CALGARY,,Province of Alberta
25062,Hummingbirds Preschool,"101-108 Jarvis Street, Y1A 2C8",101 108 Jarvis Street,101 108,jarvis street,,,,Yukon Territory
7785,CPE LES PETITS PATRIOTES INC.,"189, rue du Moulin",189 rue du Moulin,189,rue du moulin,,Saint-Eustache,,Province of Quèbec
14415,Wesley Licensed School Age Program - Lake Avenue School,,nan,157,Lake Avenue,,Hamilton,ON,Province of Ontario
1892,GLOBAL AWARE CARE - SUMMERSIDE,1103 95 STREET SW,1103 95 STREET SW,1103,95 street sw,,EDMONTON,,Province of Alberta
8607,Hopedale Montessori School - Palermo Campus,,nan,3114,DUNDAS Street,,Oakville,ON,Province of Ontario
12787,PLASP - Tecumseh Public School,,nan,1480,Chriseden Drive,,Mississauga,ON,Province of Ontario
4930,Blumenort Christian Preschool,"Rm B26,B70(71-76),B80(82,84,85,86,87,88) 59 Centre Avenue (Ave) Blumenort, MB",b26b70 ,,,,,,Province of Manitoba
11348,Kids Kingdom Daycare Inc,,nan,66,Hearst Way,,Kanata,ON,Province of Ontario
10594,Fort Albany First Nation Day Care Centre,,nan,,Day Care Centre,,Fort Albany,ON,Province of Ontario
21315,Percy's Clubhouse,2281 Henry Ave,2281 Henry Ave,2281,henry ave,,Sidney,,Province of British Columbia
14317,Village Child Care Centre Inc.,,nan,2976,Charleston Sideroad Road,,Caledon Village,ON,Province of Ontario
8330,GARDERIE BRIN D'ÉNERGIE,"608, rue Champlain",608 rue Champlain,608,rue champlain,,Saint-Jean-sur-Richelieu,,Province of Quèbec
11009,Hillmount Child Care Centre,,nan,245,McNicoll Avenue,,Toronto,ON,Province of Ontario
13653,The Learning Centre-Iroquois,,nan,66,Lakeview Drive,,Iroquois,ON,Province of Ontario
10131,Les Coccinelles Z√©l√©es,,nan,153,Church Rue,,St. Catharines,ON,Province of Ontario
21962,Natural Beginnings Child Care Centre,995 Heritage Cres,995 Heritage Cres,995,heritage cres,,Prince George,,Province of British Columbia
20434,Gibsons YMCA Child Care,783 School Rd,783 School Rd,783,school rd,,Gibsons,,Province of British Columbia
7961,"CENTRE DE LA PETITE ENFANCE ""PLAISIR D'ENFANT""","1860, rue Henriette",1860 rue Henriette,1860,rue henriette,,Carignan,,Province of Quèbec
4378,Promila Rose,None,None,,,,,,Province of Manitoba
21607,Wild And Wonderful Family Daycare,19091 117B Ave,19091 117B Ave,19091,117b ave,,Pitt Meadows,,Province of British Columbia
2644,EARLY LEARNING AND CHILDCARE CENTRE,5108 50TH AVE,5108 50TH AVE,5108,50th ave,,OLDS,,Province of Alberta
6726,GARDERIE DES ANGES GARDIENS,"4731, boulevard Robert",4731 boulevard Robert,4731,boulevard robert,,Saint-Léonard,,Province of Quèbec
14055,JingBao (Downtown) Bilingual Children's Centre (96 Denison Avenue),,nan,96,Denison Avenue,,Toronto,ON,Province of Ontario
3166,BOYS & GIRLS CLUB OF LETHBRIDGE - MAIN NORTH,1405 - 8 AVENUE NORTH,1405 8 AVENUE NORTH,1405,8 avenue north,,LETHBRIDGE,,Province of Alberta
