,Report Snapshot Date,Licensee Name,Program Type Desc,Region Display Name,CMSM DSSAB Name,Child Care Center Name,Licence Number,Program Option,Original Issue Date,Licence Status,Closure or Termination Date,Language of Service Desc,Street Number,Street Name,Street Type,City,Province,Postal Code,
33,2020-02-29,1168108 Ontario Inc. O/A North Bay Daycare Centre,Child Care Centre,North Region,District of Nipissing Social Services Administration Board,North Bay Daycare Centre - School Age Program,112,"Full Day(6 hours or more in a day), Before school, After school",1999-06-25,Active,,English,449,Laurier,Avenue,North Bay,ON,P1B 1T3,
34,2020-02-29,1191238 Ontario Ltd. - Trinity Montessori School,Child Care Centre,Central North Region,Regional Municipality of York,1191238 Ontario Ltd. - Trinity Montessori School,318,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1999-11-30,Active,,English,9211,Woodbine,Avenue,Markham,ON,L3R 0K1,
35,2020-02-29,1191270 O/A Montessori School of Bracebridge,Child Care Centre,North Region,District Municipality of Muskoka,Montessori School of Bracebridge,4077,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2007-01-08,Inactive,,English,265,Maple,Street,Bracebridge,ON,P1L 1K3,
36,2020-02-29,1207770 Ontario Ltd. - Oxford Learning Centre - Richmond Hill,Child Care Centre,Central North Region,Regional Municipality of York,1207770 Ontario Ltd - Oxford Learning Centre - Richmond Hill,19106,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1998-07-27,Inactive,,English,10720,Yonge,Street,Richmond Hill,ON,L4C 3C9,
37,2020-02-29,1217984 Ontario Inc. - Oxford Learning Centre,Child Care Centre,Central East Region,City of Toronto,Oxford Learning Centre - 1217984 Ontario Inc.,1640,Half day(Less than 6 hours in a day),2002-06-01,Inactive,2014-12-14,English,3130,Bathurst,Street,Toronto,ON,M6A 2A1,
38,2020-02-29,1229244 Ontario Inc. - MindTech Montessori Schools,Child Care Centre,Central North Region,Regional Municipality of York,1229244 Ontario Inc. - MindTech Montessori & Computer School - Markham,19092,Full Day(6 hours or more in a day),1998-01-29,Inactive,2016-08-04,English,2977,16th,Avenue,Markham,ON,L3R 0K9,
39,2020-02-29,1237462 Ontario Inc. - First Class Children's Centre,Child Care Centre,West Region,City of Hamilton,First Class Children's Centre,23068,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1997-08-01,Active,,English,139,Rebecca,Street,Hamilton,ON,L8R 1B9,
40,2020-02-29,1243015 Ontario Incorporated (Seafield Day Nursery),Child Care Centre,Central North Region,City of Toronto,Seafield Day Nursery - (1243015 Ontario Incorporated),16086,"Full Day(6 hours or more in a day), Before school, After school",1997-10-31,Active,,English,100,York Gate,Boulevard,Toronto,ON,M3N 2C4,
41,2020-02-29,1243450 Ontario Limited - First Steps Child Care,Child Care Centre,Southwest Region,City of Windsor,First Steps Child Care - Irwin Avenue,27030,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), After school",1997-10-02,Inactive,2018-09-28,English,169,Irwin,Avenue,Essex,ON,N8M 2T4,
42,2020-02-29,1243450 Ontario Limited - First Steps Child Care,Child Care Centre,Southwest Region,City of Windsor,First Steps Child Care - Tecumseh Road,1015,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2000-01-03,Inactive,2018-09-28,English,13291,Tecumseh,Road,Tecumseh,ON,N8N 3T4,
43,2020-02-29,1253637 Ontario Inc. (Robin's Nest Early Childhood Education Centre),Child Care Centre,Southwest Region,City of St. Thomas,ROBIN'S NEST EARLY CHILDHOOD EDUCATION CENTRE,25136,Full Day(6 hours or more in a day),1998-01-29,Active,,English,8,Hammond,Street,St. Thomas,ON,N5P 2B5,
44,2020-02-29,1266347 Ontario Inc.,Child Care Centre,Southwest Region,Regional Municipality of Waterloo,Sunny Day Care,1664,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2002-07-02,Active,,English,2209,Kingsway,Drive,Kitchener,ON,N2C 1A2,
45,2020-02-29,1277635 Ontario Limited,Child Care Centre,West Region,Regional Municipality of Halton,Oxford Learning Centre - Oakville,751,Half day(Less than 6 hours in a day),2000-09-05,Inactive,,English,1131,Nottinghill,Gate,Oakville,ON,L6M 1K5,
46,2020-02-29,1285369 Ontario Ltd.,Child Care Centre,Central West Region,Regional Municipality of Peel,OXFORD LEARNING CENTRE - CENTRAL,1465,Half day(Less than 6 hours in a day),2001-10-24,Inactive,2015-09-22,English,640,Eglinton,Avenue,Mississauga,ON,L5R 3V2,
47,2020-02-29,1286909 Ontario Limited,Child Care Centre,Central North Region,Regional Municipality of York,1286909 Ontario Limited - The Little Red School House,19102,Full Day(6 hours or more in a day),1998-05-29,Active,,English,325,The Queensway,,Keswick,ON,L4P 2B8,
48,2020-02-29,1300893 Ontario Limited,Child Care Centre,Central West Region,Regional Municipality of Peel,Angelic Treasures Christian Childcare Centre,3382,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2005-12-09,Active,,English,6970,Vicar,Gate,Mississauga,ON,L5W 1G7,
49,2020-02-29,1318291 Ontario Limited,Child Care Centre,West Region,Regional Municipality of Halton,Hopedale Montessori School,20033,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1994-09-30,Active,,English,156,Third,Line,Oakville,ON,L6L 3Z8,
50,2020-02-29,1318291 Ontario Limited,Child Care Centre,West Region,Regional Municipality of Halton,Hopedale Montessori School - Orchard Road Campus,2444,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2004-03-12,Active,,English,2207,Orchard,Road,Burlington,ON,L7L 7H8,
51,2020-02-29,1318291 Ontario Limited,Child Care Centre,West Region,Regional Municipality of Halton,Hopedale Montessori School - Palermo Campus,57006,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2017-08-31,Active,,English,3114,DUNDAS,Street,Oakville,ON,L6M 4J3,
52,2020-02-29,1318291 Ontario Limited,Child Care Centre,West Region,Regional Municipality of Halton,Hopedale Montessori School - Thomas St. Campus,20185,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1998-09-08,Active,,English,160,William,Street,Oakville,ON,L6J 1C5,
53,2020-02-29,1320108 Ontario Inc.,Child Care Centre,Southwest Region,Regional Municipality of Waterloo,Alexandra Day Care,3900,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2006-09-28,Active,,English,68,Alexandra,Avenue,Waterloo,ON,N2L 1L7,
54,2020-02-29,134757 Ontario Inc. - MindTech (East Campus),Child Care Centre,Central North Region,Regional Municipality of York,134757 Ontario Inc. - MindTech (East Campus),900,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2000-10-02,Active,,English,8961,Ninth,Line,Markham,ON,L6B 1A8,
55,2020-02-29,1350726 Ontario Ltd.  (Petite Maison Montessori),Child Care Centre,Central East Region,City of Toronto,Petite Maison Montessori,60,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1999-09-07,Active,,"Greek, English, French, French, Other",126,O'Connor,Drive,Toronto,ON,M4K 2K7,
56,2020-02-29,1351520 Ontario Ltd.(Hillside Montessori School),Child Care Centre,Central North Region,City of Toronto,Hillside Montessori School   (1351520 Ontario Ltd.),1756,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2002-09-03,Active,,English,76,Anglesey,Boulevard,Toronto,ON,M9A 3C1,
57,2020-02-29,1364999 Ontario Ltd.(Teddy Bear Educare) (69 Six Point Rd),Child Care Centre,Central West Region,City of Toronto,Learning Garden Childcare,16185,Full Day(6 hours or more in a day),1999-11-11,Active,,English,69,Six Point,Road,Toronto,ON,M8Z 2X3,
58,2020-02-29,1370863 Ontario Inc. - Pinetree Montessori School,Child Care Centre,Southwest Region,City of London,PINETREE MONTESSORI SCHOOL,3850,Half day(Less than 6 hours in a day),1979-09-04,Active,,English,489,Pinetree,Drive,London,ON,N6H 3M9,
59,2020-02-29,1373469 Ontario Ltd.,Child Care Centre,Southwest Region,Regional Municipality of Waterloo,Tender Loving Daycare,2275,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2003-10-20,Active,,English,2,Grand,Avenue,Cambridge,ON,N1S 2L2,
60,2020-02-29,1376842 Ontario Inc.,Child Care Centre,Central West Region,Regional Municipality of Peel,Rotherglen School Meadowvale Campus,56646,Half day(Less than 6 hours in a day),2016-10-07,Inactive,,English,929,Old Derry,Road,Mississauga,ON,L5W 1A1,
61,2020-02-29,1383078 Ontario Limited,Child Care Centre,West Region,Regional Municipality of Halton,Peekaboo Georgetown - L.E.A.P.,2690,"Half day(Less than 6 hours in a day), After school",2004-09-08,Inactive,2015-11-13,English,68-78,Main,Street,Georgetown,ON,L7G 3H3,
62,2020-02-29,1415921 Ontario Ltd.  (Antrim Childcare Centre),Child Care Centre,Central East Region,City of Toronto,Antrim Childcare Centre,808,Full Day(6 hours or more in a day),2000-09-06,Inactive,2018-07-06,English,4A,Antrim,Crescent,Toronto,ON,M1P 4Y8,
63,2020-02-29,1420010 Ontario Inc. - Kendalwood Montessori School,Child Care Centre,Central East Region,Regional Municipality of Durham,14200 10 Ontario Inc. - Kendalwood Montessori School,3139,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2005-08-10,Active,,English,104,Consumers,Drive,Whitby,ON,L1N 5T3,
64,2020-02-29,1437947 Ontario Ltd.,Child Care Centre,Central North Region,Regional Municipality of York,Leslie Street Day Care Centre,8696,Full Day(6 hours or more in a day),1989-09-05,Active,,English,1111,Stellar,Drive,Newmarket,ON,L3Y 7B8,
65,2020-02-29,1451980 Ontario Inc.,Child Care Centre,West Region,Regional Municipality of Halton,Oxford Learning Centre - Oakville South,1721,Half day(Less than 6 hours in a day),2002-08-16,Inactive,,English,511,Maple Grove,Drive,Oakville,ON,L6J 6X8,
66,2020-02-29,1462488 Ontario Limited,Child Care Centre,Central North Region,Regional Municipality of York,Scholar Montessori Academy - Langstaff Campus,2278,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2003-09-28,Active,,English,3650,Langstaff,Road,Vaughan,ON,L4L 9A8,
67,2020-02-29,1471943 Ontario Limited,Child Care Centre,West Region,Regional Municipality of Halton,Monkey See Monkey Do/Abbeywood,1215,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), After school",2001-07-10,Active,,English,1395,Abbeywood,Drive,Oakville,ON,L6M 3B2,
68,2020-02-29,1478674 Ontario Inc,Child Care Centre,West Region,City of Hamilton,Little Learning House Child Care Centre,1500,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2001-11-07,Active,,English,198,Fennell,Avenue,Hamilton,ON,L9A 1S7,
69,2020-02-29,1478674 Ontario Inc,Child Care Centre,West Region,City of Hamilton,Little Learning House Child Care Centre - Locke Street,56178,Full Day(6 hours or more in a day),2015-08-28,Active,,English,86,Homewood,Avenue,Hamilton,ON,L8P 2M4,
70,2020-02-29,1478674 Ontario Inc,Child Care Centre,West Region,City of Hamilton,Little Learning House Infant and Toddler Centre,5936,Full Day(6 hours or more in a day),2011-11-01,Active,,English,192,Allenby,Avenue,Hamilton,ON,L9A 2V2,
71,2020-02-29,1483682 Ontario Incorporated,Child Care Centre,East Region,County of Hastings,Kinder Club Daycare,1456,Full Day(6 hours or more in a day),2001-10-08,Inactive,2014-07-02,English,331,Dufferin,Avenue,Belleville,ON,K8N 3X6,
72,2020-02-29,1483682 Ontario Incorporated,Child Care Centre,East Region,County of Hastings,Kinder Learning Centre,2101,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2003-05-05,Active,,English,308,Dundas,Street,Belleville,ON,K8N 1E6,
73,2020-02-29,1483682 Ontario Incorporated,Child Care Centre,East Region,County of Hastings,Kinder Learning Centre - Trenton East,5199,Full Day(6 hours or more in a day),2009-10-15,Active,,English,287,Dundas,Street,Trenton,ON,K8V 1M1,
74,2020-02-29,1490626 Ontario Inc.,Child Care Centre,Central West Region,Regional Municipality of Peel,Little Stars Daycare,5713,Half day(Less than 6 hours in a day),2011-07-29,Active,,English,527,Van Kirk,Drive,Brampton,ON,L7G 4K4,
