,Report Snapshot Date,Licensee Name,Program Type Desc,Region Display Name,CMSM DSSAB Name,Child Care Center Name,Licence Number,Program Option,Original Issue Date,Licence Status,Closure or Termination Date,Language of Service Desc,Street Number,Street Name,Street Type,City,Province,Postal Code,
3585,2020-02-29,Montessori Children's Academy Inc.,Child Care Centre,Southwest Region,City of Brantford,Montessori Children's Academy,2211,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2003-09-03,Active,,English,2,Ball,Street,Paris,ON,N3L 1W7,
3586,2020-02-29,Montessori Children`s House,Child Care Centre,North Region,District of Nipissing Social Services Administration Board,Montessori Children`s House,57663,Full Day(6 hours or more in a day),2019-06-05,Active,,English,73,Gertrude,Street,North Bay,ON,P1A 1K1,
3587,2020-02-29,Montessori Country Schools inc.,Child Care Centre,Central North Region,Regional Municipality of York,The Montessori Country School,56340,"Full Day(6 hours or more in a day), Before school, After school",2015-12-29,Active,,English,6185,15th Sideroad,,Nobleton,ON,L0G 1N0,
3588,2020-02-29,Montessori Country Schools inc.,Child Care Centre,West Region,Regional Municipality of Halton,The Montessori Country School - Milton,56331,"Full Day(6 hours or more in a day), Before school, After school",2015-12-24,Active,,English,8560,Tremaine,Road,Milton,ON,L9T 2Y3,
3589,2020-02-29,Montessori Education Centre  (1114851 Ontario Inc.),Child Care Centre,Central East Region,City of Toronto,Montessori Education Centre,55758,"Full Day(6 hours or more in a day), Before school, After school",2014-12-08,Active,,English,16,Thorncliffe Park,Drive,Leaside,ON,M4H 1H4,
3590,2020-02-29,Montessori Education Centre  (1114851 Ontario Inc.),Child Care Centre,Central North Region,City of Toronto,Montessori Education Centre (1114851 Ontario Inc.),15063,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1995-04-03,Inactive,2018-07-10,English,80,George Henry,Boulevard,Toronto,ON,M2J 1E7,
3591,2020-02-29,Montessori Jewish Day School of Toronto,Child Care Centre,Central North Region,City of Toronto,Montessori Jewish Day School,3709,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2006-08-31,Active,,"Hebrew, English, Other",55,Yeoman's,Road,Toronto,ON,M3H 3J7,
3592,2020-02-29,Montessori Leaders Casa,Child Care Centre,Central West Region,Regional Municipality of Peel,Montessori Leaders Casa,55407,"Full Day(6 hours or more in a day), Before school, After school",2014-07-06,Active,,English,20,Red Maple,Drive,Brampton,ON,L6X 4N7,
3593,2020-02-29,Montessori Learning Centre,Child Care Centre,Central East Region,Regional Municipality of Durham,Montessori Learning Centre,56367,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2015-12-31,Active,,English,401,Kingston,Road,Pickering,ON,L1V 1A3,
3594,2020-02-29,Montessori Learning Centre,Child Care Centre,Central East Region,Regional Municipality of Durham,Montessori Learning Centre of Pickering,56368,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2015-12-31,Active,,English,409,Kingston,Road,Pickering,ON,L1V 1A3,
3595,2020-02-29,Montessori Learning Centre,Child Care Centre,Central East Region,Regional Municipality of Durham,Montessori Learning Centre of Pickering,56369,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2015-12-31,Active,,English,417,Kingston,Road,Pickering,ON,L1V 1A3,
3596,2020-02-29,Montessori School House,Child Care Centre,Central North Region,Regional Municipality of York,Montessori School House Inc,5128,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2009-09-08,Active,,English,9730,Dufferin,Street,Maple,ON,L4L 1A6,
3597,2020-02-29,Montessori School in Kleinburg Inc.,Child Care Centre,Central North Region,Regional Municipality of York,Montessori School of Kleinburg,1951,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school",2003-01-06,Active,,English,10515,Highway 27,,Kleinburg,ON,L0J 1C0,
3598,2020-02-29,Montessori School of Milton Inc.,Child Care Centre,West Region,Regional Municipality of Halton,Montessori School of Milton - Bronte Campus,5507,"Full Day(6 hours or more in a day), Before school, After school",2010-09-07,Active,,English,336,Bronte,Street,Milton,ON,L5M 5C4,
3599,2020-02-29,Montessori School of Sudbury,Child Care Centre,North Region,City of Greater Sudbury ,Montessori School of Sudbury,34032,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1998-10-09,Active,,English,295,Victoria,Street,Sudbury,ON,P3C 1K5,
3600,2020-02-29,Montessori School of Wellington Limited,Child Care Centre,West Region,County of Wellington,MONTESSORI SCHOOL OF WELLINGTON  SCHOOL AGE PROGRAM - WESTMINSTER WOODS,5504,"Before school, After school",2010-09-07,Active,,English,140,Goodwin,Drive,Guelph,ON,N1L 0G7,
3601,2020-02-29,Montessori School of Wellington Limited,Child Care Centre,West Region,County of Wellington,Montessori School of Wellington,28029,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",1997-10-02,Active,,English,68,Suffolk,Street,Guelph,ON,N1H 2J2,
3602,2020-02-29,Montessori School of Wellington Limited,Child Care Centre,West Region,County of Wellington,Montessori School of Wellington School Age Program Arbour Vista Public School,55633,"Before school, After school",2014-08-31,Active,,English,200,McCann,Street,Guelph,ON,N1G 0C5,
3603,2020-02-29,Montessori School of Wellington Limited,Child Care Centre,West Region,County of Wellington,The Montessori School of Wellington School-Age Program,2169,"Full Day(6 hours or more in a day), Before school, After school",2003-09-05,Active,,English,111,Colonial,Drive,Guelph,ON,N1H 1L3,
3604,2020-02-29,Montessori School of Windsor Ltd.,Child Care Centre,Southwest Region,City of Windsor,Montessori School of Windsor Ltd - Child Care,27022,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",1995-11-22,Active,,English,2500,Labelle,Street,Windsor,ON,N9E 1B6,
3605,2020-02-29,Montessori Start Inc.,Child Care Centre,Central North Region,City of Toronto,Montessori Start Inc.,5959,Full Day(6 hours or more in a day),2011-12-01,Active,,English,1195,Lawrence,Avenue,Toronto,ON,M6E 1E2,
3606,2020-02-29,Montessori The Place To Grow,Child Care Centre,Southwest Region,Municipality of Chatham-Kent,Montessori The Place To Grow,6484,Full Day(6 hours or more in a day),2013-05-14,Active,,English,93,William,Street,Chatham,ON,N7M 4L4,
3607,2020-02-29,Montessori Villa Wisdom Inc.,Child Care Centre,Central East Region,City of Toronto,Montessori Villa Wisdom Inc.,57887,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2019-12-10,Active,,"English, French",231,Milner,Avenue,Scarborough,ON,M1S 5E3,
3608,2020-02-29,Montessori for Children (St. Clair) Inc.,Child Care Centre,Central West Region,City of Toronto,Montessori for Children (St. Clair) Inc.,15095,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1995-09-21,Active,,English,25,Alvin,Avenue,Toronto,ON,M4T 2A7,
3609,2020-02-29,Montessori in the Woods Inc.,Child Care Centre,Central West Region,Regional Municipality of Peel,Montessori in the Woods Inc.,57255,"Full Day(6 hours or more in a day), Before school, After school",2018-08-21,Active,,English,1261,North Sheridan Way,,Mississauga,ON,L5H 2A3,
3610,2020-02-29,MontessoriWorks Inc.,Child Care Centre,Central West Region,Regional Municipality of Peel,MontessoriWorks - The School for Me,3183,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2005-09-03,Active,,English,3050,Artesian,Drive,Mississauga,ON,L5M 7P5,
3611,2020-02-29,Montrose Child Care Centre Inc.,Child Care Centre,Central West Region,City of Toronto,Montrose Child Care Centre Inc.,4527,"Full Day(6 hours or more in a day), Before school, After school",1981-12-08,Active,,English,301,Montrose,Avenue,Toronto,ON,M6G 3G9,
3612,2020-02-29,Moose Cree First Nation,Child Care Centre,North Region,Not Available,Ka pisha shiki oota hah meh weh nah (Small Steps Child Care Services),11116,"Half day(Less than 6 hours in a day), Before school, After school",1991-12-16,Active,,English,22,Jonathan Cheechoo,Drive,Moose Factory,ON,P0L 1W0,
3613,2020-02-29,Moose Deer Point First Nation,Child Care Centre,North Region,Not Available,Binoojii House,5318,Full Day(6 hours or more in a day),2010-04-01,Active,,English,10250,Mitawbik,Road,Mactier,ON,P0C 1H0,
3614,2020-02-29,Moppet Parent Participating Preschool of Kitchener,Child Care Centre,Southwest Region,Regional Municipality of Waterloo,Moppet Parent Participating Preschool,4467,Half day(Less than 6 hours in a day),1981-03-06,Active,,English,171,Frederick,Street,Kitchener,ON,N2H 2M6,
3615,2020-02-29,More Than Just Babysitting Child Care Centre Inc.,Child Care Centre,East Region,United Counties of Leeds & Grenville,M.T.J.B TR Leger Site,5111,Half day(Less than 6 hours in a day),2009-09-08,Active,,English,490,Jessup,Street,Prescott,ON,K0E 1T0,
3616,2020-02-29,More Than Just Babysitting Child Care Centre Inc.,Child Care Centre,East Region,United Counties of Leeds & Grenville,M.T.J.B. Child Care Centre Inc. - Wellington Public School Site,6176,"Before school, After school",2012-08-01,Active,,English,920,Boundary,Street,Prescott,ON,K0E 1T0,
3617,2020-02-29,More Than Just Babysitting Child Care Centre Inc.,Child Care Centre,East Region,United Counties of Leeds & Grenville,M.T.J.B. Maynard Public School Site (Main Site),4300,"Full Day(6 hours or more in a day), Before school, After school",2007-09-04,Active,,English,21,Stewart,Drive,Prescott,ON,K0E 1T0,
3618,2020-02-29,More Than Just Babysitting Child Care Centre Inc.,Child Care Centre,East Region,United Counties of Leeds & Grenville,M.T.J.B. St. Mark's Summer Program,6512,Full Day(6 hours or more in a day),2013-06-03,Inactive,2014-04-09,English,420,McAuley,Road,Prescott,ON,K0E 1T0,
3619,2020-02-29,More Than Just Babysitting Child Care Centre Inc.,Child Care Centre,East Region,United Counties of Leeds & Grenville,MTJB B&A 5 Clothier St. E. Site,57526,"Before school, After school",2019-02-05,Active,,English,5,Clothier,Street,Kemptville,ON,K0G 1J0,
3620,2020-02-29,More Than Just Babysitting Child Care Centre Inc.,Child Care Centre,East Region,United Counties of Leeds & Grenville,MTJB Holy Cross Catholic School Site,4302,"Before school, After school",2007-09-04,Active,,English,521,Clothier,Street,Kemptville,ON,K0G 1J0,
3621,2020-02-29,More Than Just Babysitting Child Care Centre Inc.,Child Care Centre,East Region,United Counties of Leeds & Grenville,MTJB Kemptville Main Site,36002,"Full Day(6 hours or more in a day), Before school, After school",1993-08-26,Active,,English,14,Tophmar,Road,Kemptville,ON,K0G 1J0,
3622,2020-02-29,Morna Day Care Services/Wee Watch Franchise,Home Child Care Agency,Central East Region,City of Toronto,Morna Day Care Services - PHDC,325,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",1992-08-17,Active,,English,42,Scarboro,Crescent,Toronto,ON,M1M 2J4,
3623,2020-02-29,Morningside Montessori School Inc.,Child Care Centre,Southwest Region,Regional Municipality of Waterloo,MORNINGSIDE MONTESSORI SCHOOL - KING STREET,6065,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2012-06-20,Active,,English,450,King,Street,Cambridge,ON,N3H 3M9,
3624,2020-02-29,Morrisburg & District Co-operative Preschool Inc.,Child Care Centre,East Region,City of Cornwall,Kids First,39010,"Before school, After school",1993-11-01,Inactive,,English,16,Second,Street,Morrisburg,ON,K0C 1X0,
3625,2020-02-29,Morrisburg & District Co-operative Preschool Inc.,Child Care Centre,East Region,City of Cornwall,"Morrisburg & District Co-operative Preschool ""Child's Play"" 2",3983,Half day(Less than 6 hours in a day),2006-09-30,Inactive,2015-07-28,English,68,St.Lawrence,Street,Morrisburg,ON,K0C 1X0,
3626,2020-02-29,Mother Goose Co-operative Preschool Inc.,Child Care Centre,West Region,City of Hamilton,Mother Goose Co-operative Preschool,5051,Half day(Less than 6 hours in a day),2009-09-08,Active,,English,407,Charlton,Avenue,Hamilton,ON,L8P 2E6,
3627,2020-02-29,Mother of Compassion Child Care Centre,Child Care Centre,Central East Region,City of Toronto,Mother of Compassion Child Care Centre,12086,Full Day(6 hours or more in a day),1992-04-27,Active,,English,40,Sewells,Road,Toronto,ON,M1B 3G5,
3628,2020-02-29,Mothers Reaching Out Inc.,Child Care Centre,Central North Region,City of Kawartha Lakes,Mothers Reaching Out Nursery School,6387,Half day(Less than 6 hours in a day),2012-10-02,Inactive,,English,109,Nappadale,,Woodville,ON,K0M 2T0,
3629,2020-02-29,Mount Brydges Sonshine Day Care,Child Care Centre,Southwest Region,City of London,MOUNT BRYDGES SONSHINE DAY CARE,4996,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2009-06-01,Active,,English,22243,Allen,Road,Mount Brydges,ON,N0L 1W0,
3630,2020-02-29,Mount Pleasant Montessori,Child Care Centre,Central West Region,Regional Municipality of Peel,Mount Pleasant Montessori,56766,"Full Day(6 hours or more in a day), Before school, After school",2017-03-28,Active,,English,15,Ashby Field,Road,Brampton,ON,L6X 0E4,
3631,2020-02-29,Mount Zion Evangelical Lutheran Church of Waterloo,Child Care Centre,Southwest Region,Regional Municipality of Waterloo,Open Sesame Headstart Preschool,6759,Half day(Less than 6 hours in a day),1989-05-17,Active,,English,29,Westmount,Road,Waterloo,ON,N2L 2K4,
3632,2020-02-29,Mountain River Child Care Association,Child Care Centre,East Region,County of Renfrew,Children's Junction,45804,"Full Day(6 hours or more in a day), After school",1992-12-17,Inactive,2016-03-04,English,51,Poplar,Street,Deep River,ON,K0J 1P0,
3633,2020-02-29,Mountain River Child Care Association,Child Care Centre,East Region,County of Renfrew,Mountain River Child Care Association,56232,"Full Day(6 hours or more in a day), Before school, After school",2015-09-25,Active,,English,33110 D,HWY 17,Street,Deep River,ON,K0J 1P0,
3634,2020-02-29,Mountain View Christian Church,Child Care Centre,West Region,City of Hamilton,Noah's Ark Children's Centre,12930,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), After school",1992-04-27,Active,,English,118,Limeridge,Road,Hamilton,ON,L9A 2S3,
3635,2020-02-29,Mouvement d'implication francophone d'Orléans (M.I.F.O.),Child Care Centre,East Region,City of Ottawa,MIFO École des pins,6578,"Before school, After school",2013-08-23,Active,,French,1487,Ridgebrook,Promenade,Ottawa,ON,K1B 4K6,
3636,2020-02-29,Mouvement d'implication francophone d'Orléans (M.I.F.O.),Child Care Centre,East Region,City of Ottawa,MIFO école Sainte Marie,3823,"Full Day(6 hours or more in a day), Before school, After school",2006-08-28,Active,,French,2599,Innes,Chemin,Ottawa,ON,K1B 3J8,
3637,2020-02-29,Mouvement d'implication francophone d'Orléans (M.I.F.O.),Child Care Centre,East Region,City of Ottawa,MIFO école St. Joseph d'Orléans,2128,"Full Day(6 hours or more in a day), Before school, After school",2003-08-25,Active,,French,6664,Carrière,Rue,Orléans,ON,K1C 1J4,
3638,2020-02-29,Mouvement d'implication francophone d'Orléans (M.I.F.O.),Child Care Centre,East Region,City of Ottawa,MIFO école de l'Odyssée,2623,"Full Day(6 hours or more in a day), Before school, After school",2004-08-30,Active,,French,1770,Grey Nuns,Promenade,Orléans,ON,K1C 1C3,
3639,2020-02-29,Mouvement d'implication francophone d'Orléans (M.I.F.O.),Child Care Centre,East Region,City of Ottawa,MIFO école des Voyageurs,4922,"Full Day(6 hours or more in a day), Before school, After school",2009-04-01,Active,,French,6030,Voyageur,Promenade,Orléans,ON,K1C 2T1,
3640,2020-02-29,Mouvement d'implication francophone d'Orléans (M.I.F.O.),Child Care Centre,East Region,City of Ottawa,MIFO école Étoile de l'Est,1033,"Full Day(6 hours or more in a day), Before school, After school",2000-01-18,Active,,French,6220,Beauséjour,Promenade,Orléans,ON,K1C 8E4,
3641,2020-02-29,Mouvement d'implication francophone d'Orléans (M.I.F.O.),Child Care Centre,East Region,City of Ottawa,MIFO- école Notre Dame des Champs,6474,"Full Day(6 hours or more in a day), Before school, After school",2013-08-26,Active,,French,6280,Renaud,Rue,Ottawa,ON,K4B 1H9,
3642,2020-02-29,Mouvement d'implication francophone d'Orléans (M.I.F.O.),Child Care Centre,East Region,City of Ottawa,MIFO-école des Pionniers,56355,"Full Day(6 hours or more in a day), Before school, After school",2015-12-29,Active,,French,720,Merkley,Promenade,Orléans,ON,K4A 1L8,
3643,2020-02-29,Moya Fewson Day Care (Caledon),Child Care Centre,Central West Region,Regional Municipality of Peel,Caledon East Children's Place,20195,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",1998-11-09,Active,,English,6029,Old Church,Road,Caledon,ON,L7C 1H8,
3644,2020-02-29,Mrs. Parks Nursery School Inc.,Child Care Centre,Central East Region,City of Toronto,Mrs. Parks Nursery School,16130,Half day(Less than 6 hours in a day),1998-11-12,Active,,English,822,Millwood,Road,Toronto,ON,M4G 1W4,
3645,2020-02-29,Mt. Hamilton Baptist Day Care Centre,Child Care Centre,West Region,City of Hamilton,Pumpkin Patch Day Care Centre,2420,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), After school",1979-05-22,Active,,English,440,Upper Wentworth,Street,Hamilton,ON,L9A 4T7,
3646,2020-02-29,Mt. Hamilton Baptist Day Care Centre,Child Care Centre,West Region,City of Hamilton,Pumpkin Patch Infant Centre,12987,Full Day(6 hours or more in a day),1989-09-05,Active,,English,450,Inverness,Avenue,Hamilton,ON,L9A 1J4,
3647,2020-02-29,Mulberry Waldorf School,Child Care Centre,East Region,City of Kingston,Mulberry Waldorf School,537,Full Day(6 hours or more in a day),1996-10-01,Active,,English,25,Markland,Street,Kingston,ON,K7K 1S2,
3648,2020-02-29,Munchkinz Preschool Inc. (2193117 Ontario Inc.),Child Care Centre,Central West Region,City of Toronto,Munchkinz Preschool Inc. (2193117 Ontario Inc.),5202,Full Day(6 hours or more in a day),2009-09-01,Active,,English,260,The Queensway,,Toronto,ON,M8Y 1J4,
3649,2020-02-29,Municipality of Brockton,Child Care Centre,North Region,County of Bruce,Brockton Child Care Centre,6298,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2012-09-04,Active,,English,81,Cemetary,Road,Walkerton,ON,N0G 2V0,
3650,2020-02-29,Municipality of Brockton,Child Care Centre,North Region,County of Bruce,Walkerton Day Care Centre,1238,Full Day(6 hours or more in a day),1979-05-22,Inactive,2014-09-10,English,215,Jane,Street,Walkerton,ON,N0G 2V0,
3651,2020-02-29,Municipality of Brockton,Child Care Centre,North Region,County of Bruce,Walkerton District School Age Program,6391,"Before school, After school",2012-10-10,Active,,English,1320,Yonge,Street,Walkerton,ON,N0G 2V0,
3652,2020-02-29,Municipality of Huron East,Child Care Centre,Southwest Region,County of Huron,Vanastra Early Childhood Learning Centre,2202,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",1975-09-02,Active,,English,26,Toronto,Boulevard,Clinton,ON,N0M 1L0,
3653,2020-02-29,Municipality of North Perth,Child Care Centre,Southwest Region,City of Stratford,ELMA TOWNSHIP SCHOOL AGE PROGRAM,4652,"Before school, After school",2008-08-27,Inactive,,English,955,Binning,Street,Listowel,ON,N4W 1G4,
3654,2020-02-29,Municipality of North Perth,Child Care Centre,Southwest Region,City of Stratford,LISTOWEL SCHOOLAGE PROGRAM - EASTDALE,25126,"Before school, After school",1997-08-25,Active,,English,365,Nichol,Avenue,Listowel,ON,N4W 2M3,
3655,2020-02-29,Municipality of North Perth,Child Care Centre,Southwest Region,City of Stratford,NORTH PERTH - ST MARY'S SCHOOLAGE PROGRAM,3697,"Before school, After school",2006-09-05,Active,,English,1209,Tremaine,Avenue,Listowel,ON,N4W 3G9,
3656,2020-02-29,Municipality of North Perth,Child Care Centre,Southwest Region,City of Stratford,NORTH PERTH DAY CARE CENTRE,1501,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1979-05-22,Inactive,,English,791,Main,Street,Listowel,ON,N4W 1B4,
3657,2020-02-29,Municipality of North Perth,Child Care Centre,Southwest Region,City of Stratford,North Perth - Central School-age Program,25095,After school,1995-11-22,Inactive,,English,305,Binning,Street,Listowel,ON,N4W 1G4,
3658,2020-02-29,Municipality of North Perth,Child Care Centre,Southwest Region,City of Stratford,North Perth - Spinrite Child and Family Centre,56591,"Full Day(6 hours or more in a day), Before school, After school",2016-09-02,Active,,English,955,Binning,Street,Listowel,ON,N4W 1G2,
3659,2020-02-29,Municipality of North Perth,Child Care Centre,Southwest Region,City of Stratford,North Perth Spinrite Child and Family Centre- SR Preschool Program,57802,Full Day(6 hours or more in a day),2019-08-29,Active,,English,305,Binning,Street,Listowel,ON,N4W 1G4,
3660,2020-02-29,Municipality of North Perth,Child Care Centre,Southwest Region,City of Stratford,WALLACE PUBLIC SCHOOL AGE PROGRAM,4386,"Before school, After school",2007-08-27,Inactive,,English,,#8727 Road 164,,Gowanstown,ON,N0G 1Y0,
3661,2020-02-29,Municipalité de Russell,Child Care Centre,East Region,United Counties of Prescott and Russell,Centre éducatif La Diversité,4854,"Before school, After school",2009-01-19,Inactive,2015-07-21,Other,6,Blais,Rue,Embrun,ON,K0A 1W0,
3662,2020-02-29,Municipalité de Russell,Child Care Centre,East Region,United Counties of Prescott and Russell,Garderie La Croisée,55490,"Before school, After school",2014-08-25,Active,,French,1215,Saint-Augustin,Rue,Embrun,ON,K0A 1W0,
3663,2020-02-29,Municipalité de Russell,Child Care Centre,East Region,United Counties of Prescott and Russell,Garderie St-Jean,55491,"Before school, After school",2014-08-25,Active,,French,1045,Notre-Dame,Rue,Embrun,ON,K0A 1W0,
3664,2020-02-29,Munira Hyder,Child Care Centre,Central West Region,Regional Municipality of Peel,Northridge Montessori School,2772,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2004-10-08,Active,,English,2185,Stavebank,Road,Mississauga,ON,L5C 1T3,
3665,2020-02-29,Munn's Child Care Centre Inc.,Child Care Centre,West Region,Regional Municipality of Halton,Munn's Child Care Centre,12554,Full Day(6 hours or more in a day),1989-09-05,Active,,English,9,Dundas,Street,Oakville,ON,L6H 7C4,
3666,2020-02-29,Munn's Child Care Centre Inc.,Child Care Centre,West Region,Regional Municipality of Halton,Munn's Child Care Centre Inc. - Iroquois Ridge,20026,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1995-05-18,Active,,English,1123,Glenashton,Drive,Oakville,ON,L6H 5M1,
3667,2020-02-29,Munsee-Delaware Nation,Child Care Centre,Southwest Region,Not Available,MUNSEE-DELAWARE NATION CHILD CARE CENTRE,25032,Full Day(6 hours or more in a day),1994-01-11,Active,,English,327,Jubilee,Road,Muncey,ON,N0L 1Y0,
3668,2020-02-29,Munster Co-operative Nursery School Inc.,Child Care Centre,East Region,City of Ottawa,Munster Co-operative Nursery School,39081,Half day(Less than 6 hours in a day),1996-10-24,Inactive,2018-07-23,English,7816,Bleeks,Road,Munster Hamlet,ON,K0A 3P0,
3669,2020-02-29,Muppets Co-operative Preschool Incorporated,Child Care Centre,West Region,Regional Municipality of Halton,Muppets Co-operative Preschool,10245,Half day(Less than 6 hours in a day),1989-04-07,Active,,English,4407,Spruce,Avenue,Burlington,ON,L7L 1L9,
3670,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,MFF & CP -  Beechgrove Public School After School Program,32012,After school,1995-04-03,Active,,English,395,Muskoka Beach,Road,Gravenhurst,ON,P1P 1M9,
3671,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,MFF & CP -  Bracebridge Children's Place,32002,"Full Day(6 hours or more in a day), After school",1993-11-02,Active,,English,2,Tamarack,Trail,Bracebridge,ON,P1L 1Z2,
3672,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,MFF & CP -  Bracebridge Public School Children's Place,4130,"Full Day(6 hours or more in a day), Before school, After school",2007-03-19,Active,,English,90,McMurray,Street,Bracebridge,ON,P1L 2G1,
3673,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,MFF & CP -  Gravenhurst Children's Place,11173,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1991-02-23,Active,,English,100-1,Centennial,Drive,Gravenhurst,ON,P1P 1B7,
3674,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,MFF & CP -  Gravenhurst Public School After School Program,32037,After school,1997-09-05,Active,,English,301,Mary,Street,Gravenhurst,ON,P1P 1X6,
3675,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,MFF & CP -  Pine Glen Public School After School Program,32011,"Full Day(6 hours or more in a day), Before school, After school",1995-04-03,Active,,English,126,West Road/Goldie,Street,Huntsville,ON,P1H 1M5,
3676,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,MFF & CP -  Riverside Public School After School Program,32015,"Before school, After school",1995-04-03,Active,,English,755,Brunel,Road,Huntsville,ON,P1H 1Z3,
3677,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,MFF & CP -  Spruce Glen Public School After School Program,2330,After school,2003-11-24,Active,,English,550,Muskoka Road #3,,Huntsville,ON,P1H 1C9,
3678,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,MFF & CP -  St. Mary's After School Program,2642,After school,2004-09-07,Active,,English,36,Silverwood,Drive,Huntsville,ON,P1H 1N1,
3679,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,MFF & CP - Huntsville Public School Before/After School Program,5746,After school,2011-09-06,Active,,English,16,Caroline,Street,Huntsville,ON,P1H 2B2,
3680,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,MFF&CP - Irwin Memorial Public School Age Program,56997,After school,2017-08-30,Active,,English,1011,Dwight Beach,Road,Dwight,ON,P0A 1H0,
3681,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,MFF&CP - KP Manson Pubic School Age Program,56999,After school,2017-08-30,Active,,English,1017,Graham,Road,Severn Bridge,ON,P0E 1N0,
3682,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,MFF&CP - Watt Public School Age Program,57011,"Before school, After school",2017-08-31,Active,,English,2794,Hwy 141,,Utterson,ON,P0B 1M0,
3683,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,Muskoka Family Focus and Children's Place Irwin Memorial School Age Program,55665,After school,2014-09-22,Inactive,,English,1011,Dwight Beach,Road,Dwight,ON,P0A 1H0,
3684,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District Municipality of Muskoka,Muskoka Family Focus and Children's Place Sabrina Park Early Learning and Childcare Centre,55977,Full Day(6 hours or more in a day),2015-04-26,Active,,English,2,Sabrina Park,Drive,Huntsville,ON,P1L 1L3,
3685,2020-02-29,Muskoka Family Focus & Children's Place,Child Care Centre,North Region,District of Parry Sound Social Services Administration Board,Evergreen Heights School Age Program,57885,"Before school, After school",2019-12-06,Active,,English,2510,Hwy 592,,Emsdale,ON,P0A 1J0,
3686,2020-02-29,Muskoka Lakes Preschool,Child Care Centre,North Region,District Municipality of Muskoka,Muskoka Lakes Preschool - Glen Orchard Public School,4900,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), After school",2009-03-23,Active,,English,3954,Hwy 69,,Port Carling,ON,P0B 1J0,
3687,2020-02-29,Muskoka Montessori School,Child Care Centre,North Region,District Municipality of Muskoka,Muskoka Montessori,4127,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2007-03-26,Active,,English,228,Chub Lake,Road,Huntsville,ON,P1H 1S4,
