CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
GBSOV,Norway House 17C-36,Undetermined,,Indian Reserve,Administrative Area,IR,fcdcac65962240749a0031b9ecfc22ea,54.211689,-96.567188,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOW,Norway House 17C-37,Undetermined,,Indian Reserve,Administrative Area,IR,80a74090a2bd49a39f5b2c6d2d34465b,54.213886,-96.561192,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOX,Norway House 17C-38,Undetermined,,Indian Reserve,Administrative Area,IR,c74a9e7f0e21494fae9374c9273cbb78,54.187941,-96.83268,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOY,Norway House 17C-39,Undetermined,,Indian Reserve,Administrative Area,IR,57f6c62c69ec4cb1915d4715f1502a22,54.185337,-96.82481,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSNP,Norway House 17C-4,Undetermined,,Indian Reserve,Administrative Area,IR,f33570ed18154ae595fd849038107f8c,54.193779,-97.038162,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOZ,Norway House 17C-40,Undetermined,,Indian Reserve,Administrative Area,IR,a5b7c62ca7a74028b7026adb89042c2a,54.159683,-96.774128,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSPA,Norway House 17C-41,Undetermined,,Indian Reserve,Administrative Area,IR,08e89cd3b2fe42f8ac6896d98137dcd7,54.160164,-96.762245,,Manitoba,50000,2009-05-29,Indigenous and Northern Affairs Canada
GBSPB,Norway House 17C-42,Undetermined,,Indian Reserve,Administrative Area,IR,7e9732aa7b3340c7b235a5aa5af2cdf7,54.156116,-96.760414,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSPC,Norway House 17C-43,Undetermined,,Indian Reserve,Administrative Area,IR,562d04d8a2b14cd5a1cf7bd258b3972f,54.163868,-96.754379,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSPD,Norway House 17C-44,Undetermined,,Indian Reserve,Administrative Area,IR,e567bb2eb978428fb52199865cae961b,54.152096,-96.745152,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSPE,Norway House 17C-45,Undetermined,,Indian Reserve,Administrative Area,IR,d7c0849c71e043c6b99894acfbec4c3b,54.142078,-96.735588,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSPF,Norway House 17C-46,Undetermined,,Indian Reserve,Administrative Area,IR,eb0382cf12e34b31ba7c0050e7dac7d3,54.151602,-96.68998,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSNQ,Norway House 17C-5,Undetermined,,Indian Reserve,Administrative Area,IR,929f0b5386a84d4fbf0196bd92e8e02d,54.187565,-97.023632,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSNR,Norway House 17C-6,Undetermined,,Indian Reserve,Administrative Area,IR,0ecdb21db36c4112b0b4868fbee85694,54.223457,-96.950058,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSNS,Norway House 17C-7,Undetermined,,Indian Reserve,Administrative Area,IR,e515425ff1484995938ef63ff3c53b13,54.256035,-96.929123,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSNT,Norway House 17C-8,Undetermined,,Indian Reserve,Administrative Area,IR,f8f2a038b3104c5fa651e82d18574c05,54.243805,-96.880497,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSNU,Norway House 17C-9,Undetermined,,Indian Reserve,Administrative Area,IR,673fa1406636486ba14ea041f06bba8e,54.271828,-96.756935,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GZACL,Norway House 17D-1,Undetermined,,Indian Reserve,Administrative Area,IR,ab059bbe5a5e11dd9007080020a0f4c9,54.270414,-96.805296,,Manitoba,50000,2011-11-25,Indigenous and Northern Affairs Canada
GZACM,Norway House 17D-2,Undetermined,,Indian Reserve,Administrative Area,IR,0fc6e9af5a5f11dd9007080020a0f4c9,54.1558333,-97.7683333,,Manitoba,50000,2007-08-10,Indigenous and Northern Affairs Canada
GZACN,Norway House 17D-3,Undetermined,,Indian Reserve,Administrative Area,IR,5a97bec35a5f11dd9007080020a0f4c9,53.7794444,-97.228611,,Manitoba,50000,2007-08-10,Indigenous and Northern Affairs Canada
GZACO,Norway House 17D-4,Undetermined,,Indian Reserve,Administrative Area,IR,ef5857995a5f11dd9007080020a0f4c9,53.9169444,-96.4002778,,Manitoba,50000,2007-08-10,Indigenous and Northern Affairs Canada
GZACP,Norway House 17D-5,Undetermined,,Indian Reserve,Administrative Area,IR,86e65db45a5f11dd9007080020a0f4c9,54.1883333,-96.1924999,,Manitoba,50000,2007-08-10,Indigenous and Northern Affairs Canada
GZACQ,Norway House 17D-6,Undetermined,,Indian Reserve,Administrative Area,IR,9aa3c5955a5f11dd9007080020a0f4c9,54.2869444,-97.5305555,,Manitoba,50000,2007-08-10,Indigenous and Northern Affairs Canada
GZACR,Norway House 17D-7,Undetermined,,Indian Reserve,Administrative Area,IR,b3bb43a65a5f11dd9007080020a0f4c9,54.3247222,-97.443611,,Manitoba,50000,2007-08-10,Indigenous and Northern Affairs Canada
GZACS,Norway House 17D-8,Undetermined,,Indian Reserve,Administrative Area,IR,cd3f8d475a5f11dd9007080020a0f4c9,54.4205555,-97.4866666,,Manitoba,50000,2007-08-10,Indigenous and Northern Affairs Canada
GZACT,Norway House 17D-9,Undetermined,,Indian Reserve,Administrative Area,IR,dad1d3585a5f11dd9007080020a0f4c9,54.5391666,-96.6186111,,Manitoba,50000,2007-08-10,Indigenous and Northern Affairs Canada
GBTRG,Norway House Cree Nation Amiskotokan,Undetermined,,Indian Reserve,Administrative Area,IR,7870a135b58841cf9939303adf0f2f3e,54.284079,-95.835471,,Manitoba,50000,2019-01-25,Indigenous and Northern Affairs Canada
GBTQO,Norway House Cree Nation Asihkwinanihk,Undetermined,,Indian Reserve,Administrative Area,IR,8ddca4ef630a406cb793d0ca18d34ddf,54.270074,-97.599696,,Manitoba,50000,2019-01-25,Indigenous and Northern Affairs Canada
GDAGH,Norway House Cree Nation Butterfly Lake A ,Undetermined,,Indian Reserve,Administrative Area,IR,a0e321a4ee02478b9ca3937a509c91ae,54.439794,-97.332726,,Manitoba,50000,2019-06-11,Indigenous and Northern Affairs Canada
GDAFN,Norway House Cree Nation Butterfly Lake B,Undetermined,,Indian Reserve,Administrative Area,IR,b576397c4bda4428bf43b59ca976968f,54.446735,-97.327583,,Manitoba,50000,2019-06-11,Indigenous and Northern Affairs Canada
GDABP,Norway House Cree Nation Gunisao Siphk Keewatinohk,Undetermined,,Indian Reserve,Administrative Area,IR,c3914334bc9f4801a00529322582639e,53.538746,-96.0563968,,Manitoba,50000,2019-03-27,Indigenous and Northern Affairs Canada
GDACJ,Norway House Cree Nation Gunisao Sipihk Sakitow,Undetermined,,Indian Reserve,Administrative Area,IR,a1476775dc5c448480f3e815d8c8555e,53.5527422,-96.0837173,,Manitoba,50000,2019-03-27,Indigenous and Northern Affairs Canada
GDACI,Norway House Cree Nation Gunisao Sipihk Sawanohk,Undetermined,,Indian Reserve,Administrative Area,IR,65a269924e3e4b9dba2c9e3c350ac50d,53.5376906,-96.09915,,Manitoba,50000,2019-03-27,Indigenous and Northern Affairs Canada
GBTQP,Norway House Cree Nation Hairy Lake,Undetermined,,Indian Reserve,Administrative Area,IR,c10a389b69754274bf49a3dd21c3b88b,54.361087,-97.276734,,Manitoba,50000,2019-01-25,Indigenous and Northern Affairs Canada
GDAGF,Norway House Cree Nation Hayes River Ridge B,Undetermined,,Indian Reserve,Administrative Area,IR,16db2ee98cd44c26a42636794789a15b,54.497376,-96.173828,,Manitoba,50000,2019-06-07,Indigenous and Northern Affairs Canada
GDAFM,Norway House Cree Nation Lebrix Lake ,Undetermined,,Indian Reserve,Administrative Area,IR,ce51a24fe1074c458154024baf2b7db7,53.757887,-97.084457,,Manitoba,50000,2019-06-10,Indigenous and Northern Affairs Canada
GBTPS,Norway House Cree Nation Minahigok Sakahigan,Undetermined,,Indian Reserve,Administrative Area,IR,7c5db59fa392413faa43ce837a7e30fd,54.5422112,-96.0008771,,Manitoba,50000,2019-01-25,Indigenous and Northern Affairs Canada
GDAAA,Norway House Cree Nation Misi Ministik,Undetermined,,Indian Reserve,Administrative Area,IR,d9cd4a3a02944874b954c79868150ffe,53.5399595,-96.2536701,,Manitoba,50000,2019-03-26,Indigenous and Northern Affairs Canada
