,name,source_facility_type,source_id,capacity,facility_type,city,full_address,postal_code,provider
2012,ACORNS TO OAKTREES CHILDCARE CENTRE,OUT OF SCHOOL CARE PROGRAM,A4CCD6320D8EC3393918F9A745728835,32,Day Care,CALGARY,3134 GLENMORE COURT SE,T2C2E6,Province of Alberta
2015,SUZUKI OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,AF10394E1154D46296155DD9638A1B07,60,Day Care,EDMONTON,10720 54 STREET,T6A2H9,Province of Alberta
2017,DIDSBURY PRESCHOOL,PRE-SCHOOL PROGRAM,B4CA9755D3A41745EBB10FFB54F1C12E,15,Day Care,DIDSBURY,2154 - 18 AVENUE,T0M0W0,Province of Alberta
2018,SUZUKI PRESCHOOL,PRE-SCHOOL PROGRAM,B6AF9688DA2A5DDDA027A2BB311A825A,11,Day Care,EDMONTON,10720 54 STREET,T6A2H9,Province of Alberta
2020,STANDARD PLAYSCHOOL ASSOCIATION,PRE-SCHOOL PROGRAM,BF16C06A90F8C6B439EC06FC43C2BF04,20,Day Care,STANDARD,822 THE BROADWAY,T0J3G0,Province of Alberta
2022,BRIGHTPATH SOUTHWOOD,DAY CARE PROGRAM,D489A89E1BF10A3B4BD35FC81BD37FCE,42,Day Care,CALGARY,10807 ELBOW DRIVE SW,T2W1G5,Province of Alberta
2025,DOLPHIN CHILD DEVELOPMENT CENTRE (OSC),OUT OF SCHOOL CARE PROGRAM,E4CC92AF50F8A8F4A372F54AD37B1C72,15,Day Care,GIBBONS,5019 51 AVENUE,T0A1N0,Province of Alberta
2027,EARLY YEARS PRE-SCHOOL,PRE-SCHOOL PROGRAM,EA0DC666EC68D57CAD2B364DBCC06AE7,36,Day Care,GRANDE PRAIRIE,9610-108 AVE,T8V1N3,Province of Alberta
2028,SEEDS & SPROUTS EARLY LEARNING AND CHILDCARE CENTRE ASC,OUT OF SCHOOL CARE PROGRAM,EAE01C18B1140062E35DD1E7ADC73D28,52,Day Care,BEAUMONT,6302/6304 29TH AVENUE,T4X0H5,Province of Alberta
2031,MAGIC MOUNTAIN CHILD DEVELOPMENT CENTRE (KINGS HEIGHTS) LTD.,OUT OF SCHOOL CARE PROGRAM,04C3A94C96C44B9900599C9FA58B8E9A,285,Day Care,AIRDRIE,101 - 2926 KINGSVIEW BLVD SE,T4A0C9,Province of Alberta
2032,BRIGHTPATH MILLWOODS OSC,OUT OF SCHOOL CARE PROGRAM,0842777178469F326735E5DA641BA3BA,20,Day Care,EDMONTON,2953 66 STREET,T6K4C1,Province of Alberta
2035,BUSY BEE'S PRESCHOOL,PRE-SCHOOL PROGRAM,20036BFC8B8454BD0E8AFCDB91D0F0EE,36,Day Care,MEDICINE HAT,1733 DUNMORE RD SE,T1A1Z8,Province of Alberta
2038,TINY TRACKS JUNCTION OUT OF SCHOOL PROGRAM,OUT OF SCHOOL CARE PROGRAM,2FE3C393A83A953AD913A310B451CB45,29,Day Care,LACOMBE,117 5001 52ND STREET,T4L2A6,Province of Alberta
2039,AGES & STAGES EARLY LEARNING & CARE INC. OSC,OUT OF SCHOOL CARE PROGRAM,40FA38D8B3B5C73395D58D5096A48102,58,Day Care,EDMONTON,5955 199 STREET HAMPTON'S LANDING,T6M0M8,Province of Alberta
2040,MAGIC MOUNTAIN CHILD DEVELOPMENT CENTRE (KINGS HEIGHTS) LTD.,DAY CARE PROGRAM,427636F162C443C9FF778FF43926876F,204,Day Care,AIRDRIE,101 - 2926 KINGSVIEW BLVD SE,T4A0C9,Province of Alberta
2041,TWO BY TWO ME & YOU,PRE-SCHOOL PROGRAM,442477F2A9464EF1A81D8489CF63A78F,54,Day Care,STONY PLAIN,"100, 3201 - 43 AVENUE",T7Z1L1,Province of Alberta
2045,TINY TRACKS JUNCTION LTD,DAY CARE PROGRAM,49352A5934452A07FB121DE02B2329B2,50,Day Care,LACOMBE,117 5001 52 STREET,T4L1J6,Province of Alberta
2046,NEW BRIGHTON CHILD CARE,DAY CARE PROGRAM,4AE27C708627CF21AE526F6D7E43CD53,56,Day Care,CALGARY,6 NEW BRIGHTON HEATH SE,T2Z0V7,Province of Alberta
2051,BRIGHTPATH MILLWOODS,DAY CARE PROGRAM,60CF830658C1F52545625A14E1188712,84,Day Care,EDMONTON,2953 66 STREET,T6K4C1,Province of Alberta
2054,SPRUCE GROVE DAYCARE,DAY CARE PROGRAM,7268FD9A2C8A9A0735AD704E18B411B0,80,Day Care,SPRUCE GROVE,115 MAIN STREET,T7X3X2,Province of Alberta
2055,LITTLE FLOWER BEFORE & AFTER SCHOOL,OUT OF SCHOOL CARE PROGRAM,751E590C9559F4814336EF3AC57934B9,7,Day Care,CALGARY,266 25 AVENUE NE,T2E1Y1,Province of Alberta
2056,STEPPING STONES PRE-K,PRE-SCHOOL PROGRAM,77996721FF0FA37A998FC30D62EA25AB,84,Day Care,WESTLOCK,9916 97TH STREET,T7P2G2,Province of Alberta
2058,SILVER SPRINGS PRESCHOOL,PRE-SCHOOL PROGRAM,7F925EA143234742CB770525988AF8A0,40,Day Care,CALGARY,5720 SILVER RIDGE DRIVE NW,T3B5E5,Province of Alberta
2061,SUMMIT KIDS - WOM,OUT OF SCHOOL CARE PROGRAM,93C4248D834A063CAF7C0F708CB30F79,95,Day Care,CALGARY,511 SILVERGROVE DR. NW,T3B4R9,Province of Alberta
2064,CARE FOR NEWCOMER CHILDREN (LINC PROGRAM),INNOVATIVE CHILD CARE PROGRAM,B378A87D4898FA0C7F2F101E1FD3D8AA,36,Day Care,CALGARY,"1010, 999-36 STREET NE",T2A7X6,Province of Alberta
2071,YMCA ST. KATERI OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,C6C8B8F12443FEC1756845AB5A6EAA72,48,Day Care,EDMONTON,3807 41 AVENUE,T6L6M3,Province of Alberta
2072,NEW BRIGHTON CHILD CARE,OUT OF SCHOOL CARE PROGRAM,CF6F3CBB8E0E4BCD69A86DDA1DB37A76,34,Day Care,CALGARY,6 NEW BRIGHTON HEATH SE,T2Z0V7,Province of Alberta
2073,AGES & STAGES EARLY LEARNING & CARE INC.,DAY CARE PROGRAM,D2778A64A7AD8A0010049F260FE2A77F,93,Day Care,EDMONTON,5955 199 STREET HAMPTON'S LANDING,T6M0M8,Province of Alberta
2075,SPRUCE GROVE OUT OF SCHOOL PROGRAM,OUT OF SCHOOL CARE PROGRAM,D6A68E76C08AC39F70C6098DE113D165,30,Day Care,SPRUCE GROVE,115 MAIN STREET,T7X3X2,Province of Alberta
2077,WETASKIWIN EARLY LEARNING AND CHILDCARE CENTRE,DAY CARE PROGRAM,DBA8D9E3F87233B6D27A25798436DD16,64,Day Care,WETASKIWIN,4013 48 STREET,T9A2H9,Province of Alberta
2079,GREAT JOURNEYS LEARNING CENTER,DAY CARE PROGRAM,E0B2907BD608BA25B08C841B755EE3F0,64,Day Care,CALGARY,4039 BRENTWOOD ROAD NW,T2L1L1,Province of Alberta
2080,LITTLE FLOWER CHILDCARE CENTRE LTD.,DAY CARE PROGRAM,EE105ADDC5AD9692877186AD039B2877,73,Day Care,CALGARY,266 25 AVENUE NE,T2E1Y1,Province of Alberta
2081,IRRICANA PLAYSCHOOL,PRE-SCHOOL PROGRAM,EFE2217F6F3421AE6B80ECBB9EC06D3B,15,Day Care,IRRICANA,300 - 1 ST.,T0M1B0,Province of Alberta
2082,SILVER SPRINGS PRESCHOOL,DAY CARE PROGRAM,F47A75F405BBB9AA67366FB3FC705467,16,Day Care,CALGARY,5720 SILVER RIDGE DRIVE NW,T3B5E5,Province of Alberta
2087,HAPPY DAYS PRESCHOOL,PRE-SCHOOL PROGRAM,22F8BB15726FEB7C94F10E5C3CF0F32A,24,Day Care,CALGARY,7401 - 23 STREET SE,T2C0X8,Province of Alberta
2088,WONDERFLOW SCHOOL HOUSE,DAY CARE PROGRAM,309B3171E9F9B979E3C7EF99517B58D9,33,Day Care,RED DEER,5201 47 AVENUE,T4N3P9,Province of Alberta
2092,ROYAL OAK PLAYSCHOOL ROCKY RIDGE DIVISION,PRE-SCHOOL PROGRAM,3ECBFF34F25783754425F5A2D951CA63,20,Day Care,CALGARY,10307 EAMON ROAD NW,T3G5H2,Province of Alberta
2095,PLANET KIDS DAYCARE,DAY CARE PROGRAM,443A194EFAA8E080CF63822E114ED12F,51,Day Care,EDMONTON,11517 105 AVE NW,T5H3L8,Province of Alberta
2103,KING'S KIDZ CHRISTIAN PRESCHOOL,PRE-SCHOOL PROGRAM,664E22D8563AACCA932E921AD295E679,24,Day Care,EDMONTON,13111 79 STREET,T5C1J4,Province of Alberta
2105,ST. FRANCIS WOMEN'S LINC PROGRAM,INNOVATIVE CHILD CARE PROGRAM,75BAC36553A6A8018DA629E49804F822,22,Day Care,EDMONTON,"2ND FLOOR, 6614 129 AVE",T5C1V7,Province of Alberta
2107,BUSY BUTTERFLIES DAYCARE CENTRE LTD,DAY CARE PROGRAM,8E6ADED3EAFEA43C6271CEEE51F44F83,124,Day Care,LETHBRIDGE,1116 3RD AVE N,T1H0H7,Province of Alberta
2109,RANCHLANDS CHILDREN COME FIRST ASSOCIATION - HAWKWOOD,OUT OF SCHOOL CARE PROGRAM,9DD67DA2AF8D3D06B41102219C42FB11,60,Day Care,CALGARY,650 HAWKWOOD BLVD. NW,T3G2V7,Province of Alberta
2110,WINDSOR PARK AFTER SCHOOL CARE PROGRAM,OUT OF SCHOOL CARE PROGRAM,9F0F7707FD57B0A6D6084CCB34503AF4,50,Day Care,EDMONTON,11733 87 AVENUE,T6G0Y4,Province of Alberta
2114,CAMROSE WOMEN'S SHELTER INNOVATIVE CHILD CARE PROGRAM,INNOVATIVE CHILD CARE PROGRAM,C3CEE33D308EFC1E6035F43FA43F363A,20,Day Care,CAMROSE,BOX 1405,T4V1X3,Province of Alberta
2117,CITY OF GRANDE PRAIRIE KID'S KLUB,OUT OF SCHOOL CARE PROGRAM,DD8AC43C43720352511E543813B30F80,45,Day Care,GRANDE PRAIRIE,9206 LAKELAND DRIVE,T8X0J4,Province of Alberta
2118,IT'S A CHILD'S WORLD FAMILY DAY HOMES,FAMILY DAY HOME,E77DBFCE6D07AF2E3E866D270E1A0E6F,320,Home,EDMONTON,201-10335 178 STREET,T5S1R5,Province of Alberta
2123,WILLOWBRAE ACADEMY EVANSTON,DAY CARE PROGRAM,03C4BE0CD180C3A4BEE93E9F10CC018D,160,Day Care,CALGARY,3205 - 2045 SYMONS VALLEY,T3P0Y2,Province of Alberta
2131,HERITAGE HILLS MONTESSORI CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,18EFC2E50E669B636AA2EE5837B50BBD,66,Day Care,SHERWOOD PARK,80 HERITAGE HILLS CROSSING,T8A5V9,Province of Alberta
2132,KIDZONE KILLARNEY,OUT OF SCHOOL CARE PROGRAM,1D741CF99EDD46083663B18AEA006AFC,36,Day Care,CALGARY,2039 - 26A STREET SW,T3E2B9,Province of Alberta
2133,CHAPPELLE DAYCARE,DAY CARE PROGRAM,1F6C3CBC930A77426E93301BB2C1E03D,22,Day Care,EDMONTON,410 CHAPPELLE DRIVE SW,T6W0Z3,Province of Alberta
2147,LAUGH 'N' LEARN DEWINTON,PRE-SCHOOL PROGRAM,32ED71778A6975CC14B4423ED7CFB97E,68,Day Care,DEWINTON,32156 HIGHWAY 552 EAST,T0L0X0,Province of Alberta
2148,VALLEY KIDLETS PRESCHOOL,PRE-SCHOOL PROGRAM,347994D20076C7988F08DC183EED5DA7,20,Day Care,SUNDRE,#5 - 96 2ND AVENUE NW,T0M1X0,Province of Alberta
2150,LAUGH 'N' LEARN DEWINTON,OUT OF SCHOOL CARE PROGRAM,3D6A6B8754769967470893AFE2517C18,68,Day Care,DEWINTON,32156 HIGHWAY 552 EAST,T0L0X0,Province of Alberta
2152,HORIZON ACADEMY PRESCHOOL,DAY CARE PROGRAM,41D9F9699EE7C9E7692BC8DA5A7B605E,37,Day Care,CALGARY,"BUILDING B4, 2452 BATTLEFORD AVENUE SW",T3E7K9,Province of Alberta
2153,HORIZON ACADEMY PRESCHOOL,OUT OF SCHOOL CARE PROGRAM,42ED2B2F1D38F9AA9F4F3DCE6CD6A889,24,Day Care,CALGARY,"BUILDING B4, 2452 BATTLEFORD AVENUE SW",T3E7K9,Province of Alberta
2155,ECOLE ENFANTINE,PRE-SCHOOL PROGRAM,4E634CE92F7775D57FE4F838A9E7D191,12,Day Care,EDMONTON,8728 - 93 AVENUE,T6C1T8,Province of Alberta
2160,DAYSLAND & DISTRICT PLAYSCHOOL,PRE-SCHOOL PROGRAM,74ABCDE44A8AB31C2539628E46876E3B,19,Day Care,DAYSLAND,5210-50TH ST,T0B1A0,Province of Alberta
2161,WHISPERING RIDGE PLAYSCHOOL,PRE-SCHOOL PROGRAM,74EFCE34AE5031BCE5BD572DAF6132E3,18,Day Care,GRANDE PRAIRIE,10320 - 149 AVENUE,T8X0S1,Province of Alberta
2165,RANCHLANDS CHILDREN COME FIRST ASSOCIATION -HIGHWOOD,OUT OF SCHOOL CARE PROGRAM,9366700F4C23CA50BEFED2469C4CEB24,77,Day Care,CALGARY,11 HOLMWOOD AVE NW,T2K2G5,Province of Alberta
2167,KIDS FUN N LEARN CENTRE,DAY CARE PROGRAM,9B54E940918496335B3675C78A44D447,48,Day Care,CALGARY,1810 - 30 STREET SE,T2B2K5,Province of Alberta
2168,GREEN DOOR NURSERY SCHOOL #2,OUT OF SCHOOL CARE PROGRAM,AAA649F07C95084CE940D678B8DE2615,20,Day Care,CALGARY,"#227, 231 - 153 AVE SE",T2X2K2,Province of Alberta
2170,SOUTH CALGARY MONTESSORI CHILD CARE LTD.,DAY CARE PROGRAM,ADA7B155213604508A9D26A16A4550A2,91,Day Care,CALGARY,105 - 4720 106 AVE SE,T2C3G5,Province of Alberta
2171,VALLEY KIDS OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,AECFB3B3853C3682F674F4760E7FD62C,40,Day Care,SUNDRE,1 - 96 2ND AVENUE NW,T0M1X0,Province of Alberta
2174,HORIZON ACADEMY PRESCHOOL,PRE-SCHOOL PROGRAM,BE1F2D389EB4708DF69041F1EE088F96,39,Day Care,CALGARY,"BUILDING B4, 2452 BATTLEFORD",T3E7K9,Province of Alberta
2175,GREEN DOOR NURSERY SCHOOL #2,PRE-SCHOOL PROGRAM,D3ECA6AFF8C6232BAD15B22DD29D5889,35,Day Care,CALGARY,"#227, 231 - 153 AVE SE",T2X2K2,Province of Alberta
2176,KIDZINC SCHOOL AGE CARE - JOHN COSTELLO,OUT OF SCHOOL CARE PROGRAM,D40D9766475574D658302CB36CD38491,60,Day Care,CALGARY,300 STRATHCONA DRIVE SW,T3H1N9,Province of Alberta
2177,HERITAGE HILLS MONTESSORI OUT SCHOOL CARE CENTRE,OUT OF SCHOOL CARE PROGRAM,DD9611C53F42286FBB5981140317C213,20,Day Care,SHERWOOD PARK,80 HERITAGE HILLS CROSSING,T8A5V9,Province of Alberta
2178,SUNDRE DAY CARE CENTRE,DAY CARE PROGRAM,DF042ED339564E4BC32FF241E75F66BA,49,Day Care,SUNDRE,#5 - 96 2ND AVENUE NW,T0M1X0,Province of Alberta
2180,DRAGONFLY FAMILY DAY HOME AGENCY,FAMILY DAY HOME,DFF30A6377ED664CB5A23B7F91D9F3E9,50,Home,DRAYTON VALLEY,4813 54 AVENUE,T7A1C3,Province of Alberta
2183,MCKERNAN CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,F3ADF4D4D3DA59DC03EB244D1B12BC3E,45,Day Care,EDMONTON,11103 76 AVENUE,T6G0J9,Province of Alberta
2184,EARLY START LEARNING CENTRE THICKWOOD PRESCHOOL,PRE-SCHOOL PROGRAM,F80746BDF44FD8307F9501B5124E6FE3,31,Day Care,FORT MCMURRAY,164-101 SIGNAL ROAD,T9H4N6,Province of Alberta
2185,SADDLETOWNE YMCA CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,0141E517CED10F2F116E4003A3A7B4AC,48,Day Care,CALGARY,7556 FALCONRIDGE BLVD NE,T3J0C9,Province of Alberta
2187,MCE CHILDCARE,DAY CARE PROGRAM,0222B2297C24F15C738CE345A2C709C5,25,Day Care,EDMONTON,10721 86 AVENUE NW,T6E2M8,Province of Alberta
2189,SOCIETE LA BICYCLETTE,DAY CARE PROGRAM,1408338CE1DDB46A13EC043140757E17,24,Day Care,SHERWOOD PARK,10 HAWKINS CRESCENT,T8A3P2,Province of Alberta
2191,NORTHEAST CHRISTIAN PRESCHOOL,PRE-SCHOOL PROGRAM,168A501D0B63266F9D5FEDE8F257157A,24,Day Care,EDMONTON,5940 159 AVENUE,T5Y0J5,Province of Alberta
2192,JASPER PLACE CHILD AND FAMILY RESOURCE SOCIETY,DAY CARE PROGRAM,1F5916F9C4AAC9ADCC240F6F60541D64,80,Day Care,EDMONTON,16811 88 AVE,T5R5Y6,Province of Alberta
2194,DAYDREAMS AT SPITZEE OSC,OUT OF SCHOOL CARE PROGRAM,3A19518D49F5E1F20AFCC2A1550707C4,65,Day Care,HIGH RIVER,409 MACLEOD TRAIL,T1V1B4,Province of Alberta
2196,ROTARY EARLY LEARNING PROGRAM CHILDCARE,DAY CARE PROGRAM,3DA5020BBA84A659B474D134ED0296F6,44,Day Care,EDMONTON,"#106, 6770 129 AVENUE",T5C1V7,Province of Alberta
2204,LYNNWOOD LEARNING CENTRE,DAY CARE PROGRAM,5F1D646C44841BF6E00BAB57117E462A,118,Day Care,CALGARY,1A 7005 18 ST SE,T2C1Y1,Province of Alberta
2205,SHERWOOD PARK KIDS & COMPANY DAYCARE,DAY CARE PROGRAM,601A4B3D36FDD758EF5FF249A028E768,56,Day Care,SHERWOOD PARK,3/20 2016 SHERWOOD DRIVE,T8A3X3,Province of Alberta
2206,CWES INNOVATIVE CHILD CARE PROGRAM,INNOVATIVE CHILD CARE PROGRAM,646243EF9CE3E10BB527BE305C4F9905,10,Day Care,CALGARY,SEE FILE,T2E7R1,Province of Alberta
2207,CRYSTALRIDGE LEARNING CENTRE,OUT OF SCHOOL CARE PROGRAM,689E2E58D134C5353DD6DA853B8D47C5,30,Day Care,OKOTOKS,"#100, 26 CRYSTALRIDGE DRIVE",T1S2C3,Province of Alberta
2209,LANGDON LEARNING CENTRE,OUT OF SCHOOL CARE PROGRAM,759F9599C60722797359835BA2B17563,30,Day Care,LANGDON,"120, 355 CENTRE STREET NW",T0J1X0,Province of Alberta
2211,PARAMOUNT KIDS OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,76F9AA43D00B10E452B3C47BDC04E5F2,30,Day Care,CALGARY,235 - 18 AVE SW,T2S0C2,Province of Alberta
2212,YMCA PARKALLEN OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,7A4C5A9B1263B8592F557B65754FEAAE,29,Day Care,EDMONTON,6703 112 STREET,T6H3J9,Province of Alberta
2214,AL-AMAL PRESCHOOL INC.,PRE-SCHOOL PROGRAM,87151EBFE5540FBE15FB377D97200780,36,Day Care,CALGARY,#4 2611 37 AVE NE,T1Y5V7,Province of Alberta
2215,CHILD'S PLAY OUT OF SCHOOL CARE @ WESTGATE,OUT OF SCHOOL CARE PROGRAM,883582BDCFE1BC04EEEB819C5B6EC059,100,Day Care,CALGARY,150 WESTMINSTER DR. SW,T3H5Z9,Province of Alberta
2216,BOWNESS MONTGOMERY CHILD CARE,DAY CARE PROGRAM,8DC8EB7152AAA7C297CBDAC16D6CF52B,109,Day Care,CALGARY,4615 85 STREET NW,T3B2R8,Province of Alberta
2217,SOCIETE LA BICYCLETTE,OUT OF SCHOOL CARE PROGRAM,8EBD0FE09465060FEB8D4A502460D5C3,25,Day Care,SHERWOOD PARK,10 HAWKINS CRESCENT,T8A3P2,Province of Alberta
2218,KIDS & COMPANY - SMART TECH,DAY CARE PROGRAM,945E507B8AF4E16212F3D6C3B7C3EA2C,76,Day Care,CALGARY,3636 RESEARCH RD. NW,T2L1Y1,Province of Alberta
2221,CRYSTALRIDGE LEARNING CENTRE,DAY CARE PROGRAM,999328FA7A1FE1E2F330DD310C0BC8A3,96,Day Care,OKOTOKS,"100, 26 CRYSTALRIDGE DRIVE",T1S2C3,Province of Alberta
2222,LYNNWOOD LEARNING CENTRE,OUT OF SCHOOL CARE PROGRAM,A660E933DA989DCD876CB48817C5FC0B,40,Day Care,CALGARY,1A 7005 18 ST SE,T2C1Y1,Province of Alberta
2223,RIVERBEND CHRISTIAN PRESCHOOL,PRE-SCHOOL PROGRAM,A71B6D6802DAA0DC18C34C96BA0BE717,24,Day Care,EDMONTON,495 RHATIGAN ROAD EAST,T6R1J2,Province of Alberta
2224,MCKEE AFTER SCHOOL PROGRAM,OUT OF SCHOOL CARE PROGRAM,AE145B00F867A48D961C7DD3D48050F7,55,Day Care,EDMONTON,10725 51 AVENUE,T6H0L3,Province of Alberta
2225,SOCIETE LA BICYCLETTE,PRE-SCHOOL PROGRAM,AE4356004B8EA4988C80750D07A065D4,24,Day Care,SHERWOOD PARK,10 HAWKINS CRESCENT,T8A3P2,Province of Alberta
2228,YMCA PARKALLEN CHILD CARE,DAY CARE PROGRAM,B7E6C494A93BE6BCED9D602E497C80C6,33,Day Care,EDMONTON,6703 112 STREET,T6H3J9,Province of Alberta
2229,JENNIE ELLIOTT STUDENT CARE,OUT OF SCHOOL CARE PROGRAM,B85E3038024716204C325829E88A9A10,90,Day Care,CALGARY,3031 LINDSAY DRIVE SW,T3E6A9,Province of Alberta
2231,DONNA'S ABC DAY CARE,DAY CARE PROGRAM,C74333E05ECB83FD06506706D08FAE5D,39,Day Care,BLAIRMORE,12726 - 16 AVENUE,T0K0E0,Province of Alberta
2232,"READY, SET, GROW PRESCHOOL",PRE-SCHOOL PROGRAM,CE28A7920F0AEA016625F82D0F1EB7ED,22,Day Care,BEAUMONT,5703 50 AVE,T4X1C4,Province of Alberta
2233,SHERWOOD PARK KIDS & COMPANY OSC,OUT OF SCHOOL CARE PROGRAM,CF8641122A291D8A0EFA6E88D0C3EE28,101,Day Care,SHERWOOD PARK,3/20 2016 SHERWOOD DRIVE,T8A3X3,Province of Alberta
2234,STEPPING STONES LANGDON PRESCHOOL,PRE-SCHOOL PROGRAM,D9DBB66058F1004A1C1277157411523A,30,Day Care,LANGDON,"120, 355 CENTRE STREET NW",T0J1X0,Province of Alberta
2236,JENNIE ELLIOTT STUDENT CARE II,OUT OF SCHOOL CARE PROGRAM,E6394B8B313B0B1C317F4B72FC9E44A3,36,Day Care,CALGARY,3023 - 63 AVENUE SW,T3E5J6,Province of Alberta
2238,QUATRE SAISONS DAYCARE,DAY CARE PROGRAM,0E7ECEA25F4B18F1B2A55B8732123785,23,Day Care,LAC LA BICHE,10309 102 AVE,T0A2C0,Province of Alberta
2239,CHILDREN IN PLAY DAYCARE,DAY CARE PROGRAM,0F903B6217C133AAA2D64C039D852452,38,Day Care,EDMONTON,12407 109 AVENUE,T5M4A4,Province of Alberta
2243,LITTLE FRIENDS CATHOLIC PRESCHOOL,PRE-SCHOOL PROGRAM,1EB73F501EC4E85B3D645A22E204F4C5,39,Day Care,LLOYDMINSTER,5120 54A STREET,T9V0S5,Province of Alberta
2246,KIDS CLUB DAY CARE -BLACK DIAMOND,DAY CARE PROGRAM,242F1E998E422A4CBA541C28B48ACB89,65,Day Care,BLACK DIAMOND,110 2ND STREET SE,T0L0H0,Province of Alberta
2247,"DAYCARE ""KOLOBOK""",DAY CARE PROGRAM,2BD2C8AB570A06007F2882CEFA5E55F6,46,Day Care,EDMONTON,19815 45 AVENUE,T6M2N4,Province of Alberta
2249,LIGHT OF CHRIST PRESCHOOL,PRE-SCHOOL PROGRAM,3546535AAACA06A1042DC3B0E365178B,0,Day Care,LAC LA BICHE,10140-104 STREET,T0A2C0,Province of Alberta
2250,RIVERBEND MONTESSORI CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,41A697B2C313650B1B7B334C24A3503F,60,Day Care,EDMONTON,536 RIVERBEND SQUARE,T6R2E3,Province of Alberta
2252,WINDERMERE DAYCARE,DAY CARE PROGRAM,508AD00E38C1C674F0D5EFE6302AA50F,62,Day Care,EDMONTON,UNIT 110 5540 WINDERMERE BLVD,T6W2Z8,Province of Alberta
2253,GLENWEST CENTRE FOR CHILDREN,OUT OF SCHOOL CARE PROGRAM,562E0CDF3D11046EF12E65F1A8396507,34,Day Care,CALGARY,3325 - 49 STREET SW,T3E6M6,Province of Alberta
2254,ASSOCIATION PRE-MATERNELLE LES BOUTS D'CHOUX,PRE-SCHOOL PROGRAM,568ED567DB0B47FFE8897F751302ABC7,18,Day Care,EDMONTON,2850 MILLWOODS ROAD,T6K4A1,Province of Alberta
2255,MAPLE ROOTS OOSC GUARDIAN ANGEL,OUT OF SCHOOL CARE PROGRAM,590681304E072C8AAA9271EBFB50A938,90,Day Care,CALGARY,20 ASPEN HILLS DR SW,T3H0P8,Province of Alberta
2256,WEBBER ACADEMY FOUNDATION DAYCARE CENTRE AND WEBBER ACADEMY,OUT OF SCHOOL CARE PROGRAM,596767C0305A4DBF4B7BF9FDB6B3D820,60,Day Care,CALGARY,1515 93 STREET SW,T3H4A8,Province of Alberta
2258,BAWLF PLAYSCHOOL SOCIETY,PRE-SCHOOL PROGRAM,60548429632A8A120AAF1FBABD7A9C69,23,Day Care,BAWLF,201 MACRAE STREET,T0B0J0,Province of Alberta
2261,HEARTLAND AGENCY - MONTEREY PARK,DAY CARE PROGRAM,67B40C14E44B738C330140157C006DF5,80,Day Care,CALGARY,6908 26 AVENUE NE,T1Y6L6,Province of Alberta
2262,LIGHT OF CHRIST OSC,OUT OF SCHOOL CARE PROGRAM,6C1B90BFFC5AE969A206670D427E3BFF,50,Day Care,LAC LA BICHE,10140-104 STREET,T0A2C0,Province of Alberta
2264,ACTIVE KIDS ACADEMY,PRE-SCHOOL PROGRAM,7162FDE9EA4940FF0646EC96822A06D6,14,Day Care,EDMONTON,1059 CHAPPELLE BLVD SW,T6W2K7,Province of Alberta
2265,NORTH GLENORA PLAYSCHOOL,PRE-SCHOOL PROGRAM,72414DE1DBBF3442CF807E268A105401,16,Day Care,EDMONTON,13535 - 109A AVENUE,T5M3Z4,Province of Alberta
2267,WEBBER ACADEMY FOUNDATION DAY CARE CENTRE AND WEBBER ACADEMY,DAY CARE PROGRAM,77FB2C4B1A364599CBB750EBB98FDDBD,46,Day Care,CALGARY,1515 93 STREET SW,T3H4A8,Province of Alberta
2270,MAHOGANY LEARNING CENTRE,DAY CARE PROGRAM,88660FDB1D99BDFBDD947878B0BCD75A,108,Day Care,CALGARY,"#160, 4 MAHOGANY ROW SE",T3M0T2,Province of Alberta
2271,SUMMIT KIDS - UES,OUT OF SCHOOL CARE PROGRAM,8A70140C68F64C72E951D7398B5B20B2,150,Day Care,CALGARY,3035 UTAH DRIVE NW,T2N3Z4,Province of Alberta
2273,"WEST VIEW DAY CARE ""THE NURTURING TREE PRESCHOOL""",PRE-SCHOOL PROGRAM,98D793BEA398B4A8B62EEF02D657AAC6,16,Day Care,FORT SASKATCHEWAN,9745/9753/9757 90 STREET,T8L1K5,Province of Alberta
2275,WEST VIEW SCHOOL AGE CARE,OUT OF SCHOOL CARE PROGRAM,9F19C15F7FCE549F6FE119A784FB9AFC,72,Day Care,FORT SASKATCHEWAN,9745/9753/9757 90 STREET,T8L1K5,Province of Alberta
2282,ADVENTURERS SCHOOL AGE CARE :ST. ANGELA,OUT OF SCHOOL CARE PROGRAM,B1527A77352B2C0E11430CD270533451,70,Day Care,CALGARY,231 - 6 ST. NE,T2E3Y1,Province of Alberta
2283,WEST VIEW DAY CARE,DAY CARE PROGRAM,B4ABFAFBD63BED7F0E0E26DFEF1C7AF7,63,Day Care,FORT SASKATCHEWAN,9745/9753/9757 90 STREET,T8L1K5,Province of Alberta
