,name,source_facility_type,source_id,capacity,facility_type,city,full_address,postal_code,provider
791,MILLWOODS CHRISTIAN SCHOOL SOCIETY OUT-OF-SCHOOL,OUT OF SCHOOL CARE PROGRAM,14508C7CC7672504828AFDF34580354F,60,Day Care,EDMONTON,8704 MILLWOODS ROAD NW,T6K3J3,Province of Alberta
792,WILLOW WOOD CHRISTIAN PRESCHOOL,PRE-SCHOOL PROGRAM,14627C87203AFBE03649DA0EB634F498,20,Day Care,EDMONTON,14204 - 25 STREET,T5Y1G5,Province of Alberta
793,KEPLER ACADEMY EARLY LEARNING AND CHILDCARE INC.,DAY CARE PROGRAM,1826084E550BC8360D6D408946DD4688,72,Day Care,EDMONTON,10123 99 STREET,T5J3H1,Province of Alberta
796,CHESTERMERE COMMUNITY PLAYSCHOOL,PRE-SCHOOL PROGRAM,188D6E8AC2B360F2D66594B4DC58A310,30,Day Care,CHESTERMERE,201 WEST CHESTERMERE DR,T1X1B2,Province of Alberta
797,FORT ROAD OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,1A086A4AA9586D7C3CB03699F4D45285,37,Day Care,EDMONTON,176/204/208 MANNING CROSSING,T5A5A1,Province of Alberta
800,KRISTY'S LITTLE LEARNERS PLAYSCHOOL,PRE-SCHOOL PROGRAM,1B29BEB44E9867891D1B0890C2795E0F,16,Day Care,SPRUCE GROVE,SUITE B 221 FIRST AVENUE,T7X3X2,Province of Alberta
801,CROWSNEST PASS - OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,1EA1B62188A1230DFEC8718ECD86437F,40,Day Care,BELLEVUE,2802 - 222 STREET,T0K0C0,Province of Alberta
803,CANYON OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,25644E2B2CB23B27096AD85404EAD60C,20,Day Care,PINCHER CREEK,408 VICTORIA CRESCENT,T0K1W0,Province of Alberta
806,NOTTINGHAM OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,3C6BA1C98E785596D29CB009AE8E4236,44,Day Care,SHERWOOD PARK,110 664 WYE ROAD,T8A6G3,Province of Alberta
807,LITTLE EINSTEINS OSC AT ST. ALBERT INC.,OUT OF SCHOOL CARE PROGRAM,40E96209C8133C644CEED44F16223C60,15,Day Care,ST. ALBERT,"100, 1 TACHE STREET",T8N1B4,Province of Alberta
