,name,source_facility_type,source_id,capacity,ages,infant,toddler,school_age,facility_type,full_address,provider
840,Lovin 'N' Learnin Day Care Inc.,Centre,1153,24,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"45 Willowlake Crescent Winnipeg, MB",Province of Manitoba
841,Family or Group Child Care Home *,Home,102256,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
842,Lydia Mulimbwa- Kasongo,Home,101817,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"800 Swailes Avenue (Ave) Winnipeg, MB",Province of Manitoba
844,Ma Mawi Wi Chi Itata Centre Inc. - Child Development Centre,Centre,9180,20,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"J - 330 Blake Street Winnipeg, MB",Province of Manitoba
846,Family or Group Child Care Home *,Home,102189,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
847,"Machray Day Nursery Inc, School Age",Centre,100547,48,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms P5, 109, 111, and Gym 460 Andrews Street Winnipeg, MB",Province of Manitoba
848,Machray Day Nursery Inc.,Centre,1033,42,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"491 Salter Street Winnipeg, MB",Province of Manitoba
849,Machray Day Nursery,Centre/Nursery,101381,43,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rm 140, Rm 111 and Gymnasium 140 - 320 Mountain Avenue (Ave) Winnipeg, MB",Province of Manitoba
851,Magy Marguerite Halisi,Home,102203,6,"Infant, Preschool, School Age",Y,Y,Y,Home,"134 Larry Vickar Drive W Winnipeg, MB",Province of Manitoba
853,Maila Cua,Home,102382,5,"Infant, Preschool, School Age",Y,Y,Y,Home,"826 Manitoba Avenue (Ave) Winnipeg, MB",Province of Manitoba
854,Making Roots Montessori Centre Inc.,Centre,101696,32,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"660 Elizabeth Road Winnipeg, MB",Province of Manitoba
856,Makoonsag Intergenerational Children's Centre Inc,Centre,100903,52,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"527 Selkirk Avenue (Ave) Winnipeg, MB",Province of Manitoba
858,Manidoo Gi Miini Gonaan/R.B. Russell Infant Centre Inc.,Centre,1278,16,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 113 364 Dufferin Avenue (Ave) Winnipeg, MB",Province of Manitoba
859,Family or Group Child Care Home *,Home,101829,5,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
861,Mantsangassa Blanche Loubila,Home,101896,6,"Infant, Preschool, School Age",Y,Y,Y,Home,"27 Paul Martin Drive Winnipeg, MB",Province of Manitoba
863,Maples Day Care Inc.,Centre,101882,104,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Child Care Centre 1575 Templeton Avenue (Ave) Winnipeg, MB",Province of Manitoba
864,Maples DayCare Inc.,Centre,1034,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Child Care Centre 27 Anglia Avenue (Ave) Winnipeg, MB",Province of Manitoba
865,Family or Group Child Care Home *,Home,101957,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
866,Family or Group Child Care Home *,Home,9592,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
868,Maria Camara,Home,50257,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"38 Envoy Crescent Winnipeg, MB",Province of Manitoba
869,Family or Group Child Care Home *,Home,9345,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
871,Maria Lourdes Javier Pizarro,Home,102216,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"1395 Leila Avenue (Ave) Winnpeg, MB",Province of Manitoba
872,Family or Group Child Care Home *,Home,100416,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
873,Family or Group Child Care Home *,Home,9049,5,"Infant, Preschool",Y,Y,N,Home,None,Province of Manitoba
875,Family or Group Child Care Home *,Home,101346,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
876,Maribeth Amposta Saria,Home,101461,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
877,Marieme Manga,Home,101656,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"22 chemin Humber Winnipeg, MB",Province of Manitoba
878,Family or Group Child Care Home *,Home,101407,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
879,Family or Group Child Care Home *,Home,7241,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
880,Family or Group Child Care Home *,Home,102446,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
881,Family or Group Child Care Home *,Home,102439,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
883,Family or Group Child Care Home *,Home,101867,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
884,Family or Group Child Care Home *,Home,102334,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
885,Family or Group Child Care Home *,Home,102177,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
886,Family or Group Child Care Home *,Home,102357,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
887,Family or Group Child Care Home *,Home,102496,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
888,Family or Group Child Care Home *,Home,102248,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
890,Mary Kardash Child Care Centre Inc.,Centre,1275,113,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 1/4/5 and Gym Level for SA 111 Polson Avenue (Ave) Winnipeg, MB",Province of Manitoba
891,Maryna Horyun,Home,102249,4,"Infant, School Age",Y,N,Y,Home,None,Province of Manitoba
893,Maybrook Children's Centre Inc.,Centre,3061,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Gym and Room 108 115 River Avenue (Ave) Winnipeg , MB",Province of Manitoba
895,Meadows West Kids Kare Inc.,Centre,1240,62,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Child Care Centre & Rm 22 166 Garton Avenue (Ave) Winnipeg, MB",Province of Manitoba
897,Meagan Buckley,Home,102400,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
898,Family or Group Child Care Home *,Home,102469,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
899,Merri-Beth Hulst,Home,102397,5,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
900,Family or Group Child Care Home *,Home,100867,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
