,name,source_facility_type,source_id,capacity,ages,infant,toddler,school_age,facility_type,full_address,provider
1113,St. Maurice Day Care Inc.,Centre,9654,154,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"2nd and 3rd Floor 1619 Pembina Highway Winnipeg, MB",Province of Manitoba
1115,St. Maurice Daycare Inc.,Centre,100042,240,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1A&B,2A&B,3A&B,4A&B,5A&B,6A&B,lowerlevel 1639 Pembina Highway Winnipeg, MB",Province of Manitoba
1116,St. Norbert Children's Centre Inc.,Centre,1160,84,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"3448 Pembina Highway Winnipeg , MB",Province of Manitoba
1118,St. Therese Child Care,Centre,100814,64,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"29 Des Meurons Street Winnipeg, MB",Province of Manitoba
1119,St. Vital Child Care Co-op Inc.,Centre,1048,67,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"15 St. Michael Road Winnipeg, MB",Province of Manitoba
1120,Stanley Knowles Children's Centre Inc.,Centre,3092,135,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"109-111,133-134,138-139,143,P4,10,11,214 27,29 - 2424 King Edward Street Winnipeg, MB",Province of Manitoba
1121,Stanley Knowles Pre-School Centre Inc.,Centre,1244,44,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"112 - 2424 King Edward Street Winnipeg, MB",Province of Manitoba
1123,Starlight Christian Nursery School Inc.,Centre/Nursery,2160,20,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"400 Day Street Winnipeg, MB",Province of Manitoba
1124,Stars of Promise Inc.,Centre,1024,64,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"114 - 1100 Concordia Avenue (Ave) Winnipeg, MB",Province of Manitoba
1125,Story Book Day Care Centre Inc.,Centre,1247,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 103,104,110,213 gym, meeting area 131 Sanford Fleming Road Winnipeg, MB",Province of Manitoba
1126,Story Book Day Care Centre Inc.,Centre,3106,65,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"115 Sanford Fleming Road Winnipeg, MB",Province of Manitoba
1127,Strathmillan Children's Centre Inc.,Centre,3027,83,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"RM. 31,32,33,34,35,36, small Gym 339 Strathmillan Road Winnipeg, MB",Province of Manitoba
1128,Sugar N' Spice Kiddie Haven Inc.,Centre,102095,126,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Childcare Centre, 2 Gyms, 100, 101, 104 55 Swinford Way Winnipeg, MB",Province of Manitoba
1129,Sugar N' Spice Kiddie Haven Inc.,Centre,1054,160,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"123 Red River Boulevard (Blvd) W Winnipeg, MB",Province of Manitoba
1130,Sugar N' Spice Kiddie Haven Inc.,Centre,100849,74,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Child Care Centre 101 Ridgecrest Avenue (Ave) Winnipeg, MB",Province of Manitoba
1131,Sunny Mountain Day Care Centre (1985) Inc.,Centre/Nursery,1055,123,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Unit 4 - 1965 Main Street Winnipeg, MB",Province of Manitoba
1133,Sunnyside Child Care Centre Inc.,Centre/Nursery,1056,146,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 7, 8 and 10 530 Dieppe Road Winnipeg, MB",Province of Manitoba
1134,Sunrise Sunset Child Care Inc.,Centre,80204,55,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 29,30 and 33 795 Prince Rupert Avenue (Ave) Winnipeg, MB",Province of Manitoba
1135,Family or Group Child Care Home *,Home,102069,5,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1136,Syeda Batool,Home,102510,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1137,Taking Charge! Inc.,Centre,7032,64,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"276 Colony Street Winnipeg, MB",Province of Manitoba
1138,Family or Group Child Care Home *,Home,9348,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1139,Family or Group Child Care Home *,Home,9711,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1140,Family or Group Child Care Home *,Home,100718,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1141,Family or Group Child Care Home *,Home,50375,5,"Infant, Preschool",Y,Y,N,Home,None,Province of Manitoba
1142,Terry Van Roose,Home,50689,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"185 Sun Valley Drive Winnipeg, MB",Province of Manitoba
1144,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,3110,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"second floor classroom, gym, sportsplex 725 Kingsbury Avenue (Ave) Winnipeg, MB",Province of Manitoba
1146,The Prep Montessori Daycare,Centre,102182,64,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Unit D - 3525 Roblin Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
1147,The Governing Council of The Salvation Army in Canada,Centre,3034,59,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1390 Roy Avenue (Ave) Winnipeg, MB",Province of Manitoba
1148,Thrive Community Support Circle Inc.,Centre,2256,36,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"100 - 475 Sargent Street Winnipeg, MB",Province of Manitoba
1150,Family or Group Child Care Home *,Home,102509,6,"Infant, Preschool, School Age",Y,Y,Y,Home,"142 Bannerman Avenue (Ave) Winnipeg, MB",Province of Manitoba
1152,Transcona Jaycees Day Care Centre Inc.,Centre,1059,78,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1800 Winona Street Winnipeg, MB",Province of Manitoba
1154,Trish Cassie,Home,9363,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1155,Tyndall Park Playschool Cooperative Inc.,Centre/Nursery,2295,25,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"2221 King Edward Street Winnipeg, MB",Province of Manitoba
1156,University of Winnipeg Students' Association Inc.,Centre,1074,128,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"548 Furby place Winnipeg, MB",Province of Manitoba
1157,Family or Group Child Care Home *,Home,102105,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1158,Universal Day Care Centre Inc.,Centre,1060,44,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 24,25,26,27 20 Donnelly Street Winnipeg, MB",Province of Manitoba
1159,Univillage Preschool and Infant Centre Inc.,Centre,1061,80,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"100 - 99 Dalhousie Drive Winnipeg, MB",Province of Manitoba
1160,Valerie Craig,Home,5661,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"1504 Rothesay Street Winnipeg, MB",Province of Manitoba
1161,Valley Gardens N.A.S.P. Inc.,Centre,3028,70,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"218 Antrim Road Winnipeg, MB",Province of Manitoba
1162,Family or Group Child Care Home *,Home,102472,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1163,Victor Mager Lunch & After School Program Inc.,Centre,3029,37,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"81 Beliveau Road Winnipeg, MB",Province of Manitoba
1164,Victor Play Centre Inc.,Centre,1062,46,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"766 Victor Street Winnipeg, MB",Province of Manitoba
1165,Victoria Albert Day Care Inc.,Centre,100494,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"483 Bannatyne Avenue (Ave) Winnipeg, MB",Province of Manitoba
1166,Victoria Albert Day Care Inc.,Centre,3063,20,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 2 & 123 110 Ellen Street Winnipeg, MB",Province of Manitoba
1167,Kidi-Garden Day Nurseries Inc.,Centre,100824,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"395 Jefferson Avenue (Ave) Winnipeg, MB",Province of Manitoba
1168,Village Child Care Inc,Centre,1298,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"515 - 525 Meadowood Drive Winnipeg, MB",Province of Manitoba
1170,Village Child Care Inc.,Centre,3030,58,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1 - 730 River Road Winnipeg, MB",Province of Manitoba
1171,Village Child Care Incorporated,Centre,100592,20,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"18 - 200 Minnetonka Road Winnipeg, MB",Province of Manitoba
1172,Family or Group Child Care Home *,Home,102376,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1173,Voyageur In School Program Inc.,Centre,3031,75,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 5, 6, 12, 13, Gym 37 Voyageur Avenue (Ave) Winnipeg, MB",Province of Manitoba
1174,Family or Group Child Care Home *,Home,100722,5,"Infant, Preschool",Y,Y,N,Home,None,Province of Manitoba
1175,Waverley Heights Child Care Inc.,Centre,1020,85,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1885 Chancellor Drive Winnipeg, MB",Province of Manitoba
1177,Wee Bairns Day Care Inc.,Centre,1270,8,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Murdoch McKay Collegiate 260 Redonda Street Winnipeg, MB",Province of Manitoba
1178,Family or Group Child Care Home *,Home,101841,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1179,Family or Group Child Care Home *,Home,100046,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1180,Westgrove Children's Centre Inc.,Centre,3032,60,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Including Room 1,5 ,6,10, 17 and Gym 50 Westgrove Way Winnipeg, MB",Province of Manitoba
1181,Westminster Children's Care Centre Inc.,Centre,3033,50,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"745 Westminster Avenue (Ave) Winnipeg, MB",Province of Manitoba
1182,Westwood Community Child Care Inc.,Centre,3035,70,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 1, 2, 3, 4, Gym 181 Sansome Avenue (Ave) Winnipeg, MB",Province of Manitoba
1184,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,9531,95,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rms:13, 15, 17, 51, 52 & Gym 400 Scurfield Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
1185,Wild Honey Children's Centre Inc.,Centre,1063,54,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"811 St. Paul Avenue (Ave) Winnipeg, MB",Province of Manitoba
1186,Wild Strawberry Children's Centre Inc.,Centre,100250,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Second Floor C - 801 Sargent Avenue (Ave) Winnipeg, MB",Province of Manitoba
1187,Wild Strawberry Children's Centre Inc.,Centre,9112,26,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Main Floor D - 801 Sargent Avenue (Ave) Winnipeg, MB",Province of Manitoba
1188,Wild Strawberry Children's Centre Inc.,Centre,1147,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"659 Alverstone Street Winnipeg, MB",Province of Manitoba
1190,Family or Group Child Care Home *,Home,102318,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1192,Windsor Cares For Kids Incorporated,Centre,3053,45,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"99 Springside Drive Winnipeg, MB",Province of Manitoba
1193,Windsor Park Children's Care Center Inc.,Centre,3036,101,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rms 9,11,12,13,23,24 & Gym Prdrgast Ctr 906 Cottonwood Road Winnipeg, MB",Province of Manitoba
1195,Windsor Park Children's Centre,Centre,101756,16,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"2 - 282 St.Anne's Road Winnipeg, MB",Province of Manitoba
1197,Crestview Park Day Nursery Inc.,Centre,101167,32,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 9, 10, 11 & Gym 250 Bedson Street Winnipeg, MB",Province of Manitoba
1199,CFB Winnipeg Family Support Centre Inc./Centre De Soutien Des Familles CFB Winnipeg,Centre,101605,17,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"630 Wihuri Road Winnipeg, MB",Province of Manitoba
1201,Winnipeg Montessori School Inc.,Centre,2024,45,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1525 Willson Place Winnipeg, MB",Province of Manitoba
1203,Wolseley Family Place Inc.,Centre/Nursery,100141,18,"Infant, School Age",Y,N,Y,Day Care,"second Floor 205 - 222 Furby Street Winnipeg, MB",Province of Manitoba
1205,Wolseley Family Place Inc.,Centre/Nursery,100141,18,"Infant, School Age",Y,N,Y,Day Care,"Lower Level 691 Wolseley Avenue (Ave) Winnipeg, MB",Province of Manitoba
1206,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,101693,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 27, 28,30 and gym 367 Hawthorne Avenue (Ave) Winnipeg, MB",Province of Manitoba
1207,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,101870,59,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 1,19,20,GYM and Multi-Purpose Room 316 Ashworth Street Winnipeg, MB",Province of Manitoba
1208,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,102118,75,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rms 2,5,6,7,13, 23, gym, and MPR 400 Willowlake Crescent Winnipeg, MB",Province of Manitoba
1209,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,102147,55,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rms 20, 22, 23, 24 and gym 130 Browning Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
1211,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,102119,45,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Gym 445 Island Shore Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
1213,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,102146,50,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Gym and Room 2 820 McPhillips Street Winnipeg, MB",Province of Manitoba
1214,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,102148,45,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Multi-purpose room 253 Maplewood Avenue (Ave) Winnipeg, MB",Province of Manitoba
1215,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,102171,70,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 8,9 and MPR 831 Beaverhill Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
1217,The Young Men's and Young Women's Christian Association Of Winnipeg Inc.,Centre,101939,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 4 and 5 175 Darwin Street Winnipeg, MB",Province of Manitoba
1219,YMCA-YWCA of Winnipeg Inc.,Centre,102541,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms:4, 7, gym 335 Lindenwood Drive E Winnipeg, MB",Province of Manitoba
1220,The Young Men's and Young Women's Christian Association Of Winnipeg Inc.,Centre,1052,80,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Mainfloor,Gym,MPR2,ActivityCtr,RMA,B,C,D 5 Fermor Avenue (Ave) Winnipeg, MB",Province of Manitoba
1222,YMCA-YWCA of Winnipeg Tyndall Park Before & After,Centre,101755,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Multi purpose room and Gym 2221 King Edward Street Winnipeg, MB",Province of Manitoba
1224,YMCA-YWCA of Winnipeg,Centre,102323,45,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rm 11,18,19 and Gym 511 Clifton Street Winnipeg, MB",Province of Manitoba
1226,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,101821,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Gym 192 Burland Avenue (Ave) Winnipeg, MB",Province of Manitoba
1227,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,102358,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 41, Gym and Red River Hall 3740 Main Street Winnipeg, MB",Province of Manitoba
1229,YMCA/YWCA Laura Secord School School Age Program,Centre,100811,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Gym, library,Rm 308,309 960 Wolseley avenue (av) Winnipeg, MB",Province of Manitoba
1231,Yours and Ours Day Care Inc.,Centre,9238,31,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"100 - 500 Balmoral Street Winnipeg, MB",Province of Manitoba
1232,Family or Group Child Care Home *,Home,9213,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1233,Zeljka Curcic and Darko Curcic,Home,100743,12,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1279,Central Park Child Care Inc.,Centre,3084,45,"Preschool, School Age",N,Y,Y,Day Care,"101 - 461 Cumberland Avenue (Ave) Winnipeg, MB",Province of Manitoba
1280,Charlene Lemoine,Home,101757,8,"Preschool, School Age",N,Y,Y,Home,"218 Charbonneau Crescent Winnipeg, MB",Province of Manitoba
1283,Family or Group Child Care Home *,Home,100950,8,Preschool,N,Y,N,Home,"95 Monticello Road Winnipeg, MB",Province of Manitoba
1302,Family or Group Child Care Home *,Home,102199,6,"Preschool, School Age",N,Y,Y,Home,None,Province of Manitoba
1303,Eloisa Torres,Home,102361,8,"Preschool, School Age",N,Y,Y,Home,"488 Beverley Street Winnipeg, MB",Province of Manitoba
1317,Family or Group Child Care Home *,Home,102330,7,"Preschool, School Age",N,Y,Y,Home,None,Province of Manitoba
1334,Lord Roberts Children's Programs Inc.,Centre,3008,60,"Preschool, School Age",N,Y,Y,Day Care,"Main Rm 33/34, Rm 67, MPR, Gyms A & C 665 Beresford Avenue (Ave) Wpg, MB",Province of Manitoba
1339,Maple Leaf Kids Korner Before & After School Program Inc.,Centre,100706,73,"Preschool, School Age",N,Y,Y,Day Care,"Rooms 11B, 32C, 50D, and Gym 251 McIvor Avenue (Ave) Winnipeg, MB",Province of Manitoba
1350,Family or Group Child Care Home *,Home,100665,8,"Preschool, School Age",N,Y,Y,Home,"980 Clifton Street Winnipeg, MB",Province of Manitoba
1351,Family or Group Child Care Home *,Home,100953,8,"Preschool, School Age",N,Y,Y,Home,None,Province of Manitoba
1352,Morrow Avenue Day Care Inc.,Centre,1192,40,"Preschool, School Age",N,Y,Y,Day Care,"511 St. Anne's Road Wpg, MB",Province of Manitoba
1353,Myrna Dobson,Home,100639,8,Preschool,N,Y,N,Home,None,Province of Manitoba
1354,Family or Group Child Care Home *,Home,102475,7,"Preschool, School Age",N,Y,Y,Home,None,Province of Manitoba
1375,River West Park Kids Inc.,Centre/Nursery,9226,59,"Preschool, School Age",N,Y,Y,Day Care,"Rooms 19, 20, 21, Gym 30 Stack Street Winnipeg, MB",Province of Manitoba
1380,Shanase Wanigasekara & Roshan Wanigesinghe,Home,102139,11,"Preschool, School Age",N,Y,Y,Home,"128 Red Spruce Road Winnipeg, MB",Province of Manitoba
1381,Family or Group Child Care Home *,Home,102497,7,"Preschool, School Age",N,Y,Y,Home,None,Province of Manitoba
1382,Family or Group Child Care Home *,Home,102515,7,"Preschool, School Age",N,Y,Y,Home,None,Province of Manitoba
1383,Sharon and Robert Harapiak,Home,7083,12,"Preschool, School Age",N,Y,Y,Home,"73 Vince Leah Drive Winnipeg, MB",Province of Manitoba
1384,Sharon Glays,Home,100510,8,"Preschool, School Age",N,Y,Y,Home,"502 Kingsford Avenue (Ave) Winnipeg, MB",Province of Manitoba
1411,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,102146,50,"Preschool, School Age",N,Y,Y,Day Care,"Gym and Room 2 820 McPhillips Street Winnipeg, MB",Province of Manitoba
1425,Family or Group Child Care Home *,Home,102271,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1427,Allison Nichole Adams,Home,102183,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1428,Amanda Burt,Home,101263,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1429,Amanda Carrigan and John Paul Nick,Home,101578,11,"Infant, Preschool, School Age",Y,Y,Y,Home,"16 Elm Street Thompson, MB",Province of Manitoba
1430,Amie Brooking,Home,102579,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1431,Family or Group Child Care Home *,Home,102619,5,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1433,Family or Group Child Care Home *,Home,101523,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1435,Family or Group Child Care Home *,Home,102608,5,Infant,Y,N,N,Home,None,Province of Manitoba
1437,Arborg Play Group Inc.,Centre,1095,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"495 Mill Ave Arborg, MB",Province of Manitoba
1438,Arborg School-Age Child Care Co-op Inc.,Centre,3105,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Arborg Early Middle School-library,gym 251 David Street Arborg, MB",Province of Manitoba
1439,Treasure Keepers Children's Centre Inc,Centre,101528,47,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"71 Normandeau Bay La Broquerie, MB",Province of Manitoba
1441,Ashern Day Care Co-op Inc.,Centre,1090,32,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"2 Main Street E Ashern, MB",Province of Manitoba
1442,Family or Group Child Care Home *,Home,102313,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1444,Family or Group Child Care Home *,Home,102241,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1447,Baldur Early Learning Centre Inc.,Centre,102511,12,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"P/O Box 12 627 Elizabeth Avenue (Ave) E Baldur, MB",Province of Manitoba
1448,Barb Pepper,Home,100273,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"15 Edgar Avenue (Ave) Dauphin, MB",Province of Manitoba
1449,Beausejour Kids Centre Inc.,Centre,1104,60,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Beausejour Early Years School 900 James Avenue (Ave) Beausejour, MB",Province of Manitoba
1450,Becky McGregor-Dyck,Home,9410,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"495 Whitmore Avenue (Ave) W Dauphin, MB",Province of Manitoba
1451,Benito Child Care Centre Inc.,Centre,9500,28,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 9 and the Child Care room 75 4th Avenue (Ave) Benito, MB",Province of Manitoba
1452,Beverley MacMillan,Home,9502,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1453,Birtle Nursery School Inc.,Centre/Nursery,1120,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room #116 73 11th Street Birtle, MB",Province of Manitoba
1456,Brenda Dyck / Kandis Hildebrand,Home,9454,12,"Infant, Preschool, School Age",Y,Y,Y,Home,"208 Hershfeld Road N Steinbach, MB",Province of Manitoba
1457,Brenda Kirschman,Home,9377,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1458,Family or Group Child Care Home *,Home,102369,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1462,Family or Group Child Care Home *,Home,100935,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1465,Budz' N Bloom Daycare Centre Inc.,Centre,102239,60,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Box 2579 342 Mountain Avenue (Ave) Neepawa, MB",Province of Manitoba
1466,Budz 'n Bloom Day Care Centre Inc.,Centre,9760,48,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"101 Hamilton Street Neepawa, MB",Province of Manitoba
1467,Busy Nest Day Care Inc.,Centre,1081,26,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Box 283 R0G1K0 159 Main Street Morris, MB",Province of Manitoba
1468,Carberry Child Care Cooperative,Centre/Nursery,9759,65,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"240 Main Street Carberry, MB",Province of Manitoba
1469,Family or Group Child Care Home *,Home,50856,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1471,Family or Group Child Care Home *,Home,7930,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1473,Family or Group Child Care Home *,Home,102390,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1475,Family or Group Child Care Home *,Home,50416,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1477,Family or Group Child Care Home *,Home,9741,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1479,Cartwright and District Early Learning Center,Centre,101513,24,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"555 Bond Street Cartwright, MB",Province of Manitoba
1480,Centre D'Enfants St. Claude Children's Centre Inc.,Centre,102225,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Library, MPR, computer room, gym 83 Provincial Road 240 Road St. Claude, MB",Province of Manitoba
1481,Centre D'Enfants Saint Claude Children's Centre Inc.,Centre,9308,48,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"28 P.R. 240 South St. Claude, MB",Province of Manitoba
1482,Family or Group Child Care Home *,Home,102108,10,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1484,Family or Group Child Care Home *,Home,102047,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1486,Charlene Boychuk,Home,102128,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1487,Charlie Brown Day Care Centre Incorporated,Centre/Nursery,1075,48,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"611 5th Avenue (Ave) E Ste. Rose Du Lac, MB",Province of Manitoba
1489,Children's Place Co-operative Inc.,Centre,3047,23,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"F.W. Gilbert School - room #9 33 Massey Avenue (Ave) Pinawa, MB",Province of Manitoba
1490,Children's Place Co-operative Inc.,Centre,1125,24,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"17 Burrows Road Pinawa, MB",Province of Manitoba
1491,Children of the Universe Learning Centre,Centre,102547,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Ste Anne Elementary School Room 143 117 St Alphonse Street Ste Anne , MB",Province of Manitoba
1492,Children Of The Universe Learning Center Inc.,Centre,101085,39,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1 - 116 Central Avenue (Ave) Ste. Anne, MB",Province of Manitoba
1493,Family or Group Child Care Home *,Home,80148,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1495,Regional Health Authorities of Manitoba Inc.,Centre,1088,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Churchill Regional Health Authority 162 Laverendrye Avenue (Ave) Churchill, MB",Province of Manitoba
1496,Family or Group Child Care Home *,Home,101771,12,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1498,Family or Group Child Care Home *,Home,80085,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1500,Family or Group Child Care Home *,Home,101089,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1502,St Francois Xavier Nursery School Inc.,Centre,2094,52,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"991B PTH 26 Highway St. Francois Xavier, MB",Province of Manitoba
