,name,source_facility_type,licence_status,street_number,street_name,city,province,postal_code,provider
4241,PLASP - Westacres Public School,Child Care Centre,Active,2165,Breezy Brae Drive,Mississauga,ON,L4Y 1N3,Province of Ontario
4242,PLASP - Whaley's Corner P.S.,Child Care Centre,Active,140,Howard Stewart Road,Brampton,ON,L6Y 6B1,Province of Ontario
4243,PLASP - Whiteoaks Public School,Child Care Centre,Active,1690,Mazo Crescent,Mississauga,ON,L5J 1Y8,Province of Ontario
4244,PLASP - Worthington Public School,Child Care Centre,Active,71,Worthington Avenue,Brampton,ON,L7A 1N9,Province of Ontario
4245,PLASP- Aylesbury P.S,Child Care Centre,Active,25,Aylesbury Drive,Brampton,ON,L7A 0V3,Province of Ontario
4246,PLASP- Bishop F. Allen Catholic School,Child Care Centre,Active,325,McMurchy Avenue,Brampton,ON,L6Y 1Z4,Province of Ontario
4247,PLASP- Burnhamthorpe Public School,Child Care Centre,Active,3465,Golden Orchard Drive,Mississauga,ON,L4Y 3H7,Province of Ontario
4248,PLASP- Maplewood Public School,Child Care Centre,Active,2650,Gananoque Drive,Mississauga,ON,L5N 2R2,Province of Ontario
4249,PLASP- McBride Avenue Public School,Child Care Centre,Active,974,McBride Avenue,Mississauga,ON,L5C 1L6,Province of Ontario
4250,PLASP- Miller's Grove Public School,Child Care Centre,Active,6325,Miller's Grove,Mississauga,ON,L5N 3C8,Province of Ontario
4251,PLASP- Mineola Public School,Child Care Centre,Active,145,Windy Oaks Drive,Mississauga,ON,L5G 1Z4,Province of Ontario
4252,PLASP- Parkway Public School,Child Care Centre,Active,24,Duncan Bull Drive,Brampton,ON,L6W 1H4,Province of Ontario
4253,PLASP- Plowman's Park Public School,Child Care Centre,Active,5940,Montevideo Road,Mississauga,ON,L5H 3J5,Province of Ontario
4254,PLASP- Plum Tree Park Public School,Child Care Centre,Active,6855,Tenth Line,Mississauga,ON,L5N 5R2,Province of Ontario
4255,PLASP- Ridgeview Public School,Child Care Centre,Active,25,Brenda Avenue,Brampton,ON,L6Y 2A1,Province of Ontario
4256,PLASP- Shelter Bay Public School,Child Care Centre,Active,6735,Shelter Bay Road,Mississauga,ON,L5N 2C5,Province of Ontario
