,name,source_facility_type,licence_status,street_number,street_name,city,province,postal_code,provider
4188,PLASP - St. Albert of Jerusalem,Child Care Centre,Active,7185,Rosehurst Drive,Mississauga,ON,L5N 7G6,Province of Ontario
4189,PLASP - St. Alfred Catholic School,Child Care Centre,Active,3341,Havenwood Drive,Mississauga,ON,L4X 2M2,Province of Ontario
4190,PLASP - St. Andre Bessette,Child Care Centre,Active,25,Riverstone Drive,Brampton,ON,L4Z 3E9,Province of Ontario
4191,PLASP - St. Basil Catholic School,Child Care Centre,Active,4235,Golden Orchard Drive,Mississauga,ON,L4W 3G1,Province of Ontario
4192,PLASP - St. Cecilia C.S./Westervelts Corners P.S.,Child Care Centre,Active,20,Brickyard Way,Brampton,ON,L6V 4L5,Province of Ontario
4193,PLASP - St. Charles Garnier Catholic School,Child Care Centre,Active,4233,Central Parkway,Mississauga,ON,L4Z 1M7,Province of Ontario
4194,PLASP - St. Clare C.S.,Child Care Centre,Active,4140,Glen Erin Drive,Mississauga,ON,L5L 2Z3,Province of Ontario
4195,PLASP - St. Daniel Comboni,Child Care Centre,Active,120,Veterans Drive,Brampton,ON,L7A 3Z7,Province of Ontario
4196,PLASP - St. Dominic C.S.,Child Care Centre,Active,515,Hartsdale Avenue,Mississauga,ON,L5G 2G7,Province of Ontario
4197,PLASP - St. Edith Stein Catholic School,Child Care Centre,Active,6234,Osprey Boulevard,Mississauga,ON,L5N 5V5,Province of Ontario
4198,PLASP - St. Edmund C.S.,Child Care Centre,Active,1250,Melton Drive,Mississauga,ON,L4Y 1L5,Province of Ontario
4199,PLASP - St. Elizabeth Seton Catholic School,Child Care Centre,Active,6133,Glen Erin Drive,Mississauga,ON,L5M 5J9,Province of Ontario
4200,PLASP - St. Evan C.S.,Child Care Centre,Active,500,Dougall Avenue,Caledon,ON,L7C 4C5,Province of Ontario
4201,PLASP - St. Faustina Catholic School,Child Care Centre,Active,3420,McDowell Drive,Mississauga,ON,L5M 6R7,Province of Ontario
4202,PLASP - St. Francis Xavier Catholic School,Child Care Centre,Active,111,Bartley Bull Parkway,Brampton,ON,L6W 2J8,Province of Ontario
4203,PLASP - St. Gertrude Catholic School,Child Care Centre,Inactive,815,Ceremonial Drive,Mississauga,ON,L5R 3S2,Province of Ontario
4204,PLASP - St. Gregory Catholic School,Child Care Centre,Active,1075,Swinbourne Drive,Mississauga,ON,L5V 1B9,Province of Ontario
4205,PLASP - St. Helen C.S.,Child Care Centre,Active,1325,Bodley Road,Mississauga,ON,L5J 3X1,Province of Ontario
4206,PLASP - St. Isaac Jogues Catholic School,Child Care Centre,Active,300,Great Lakes Drive,Brampton,ON,L6R 2W7,Province of Ontario
4207,PLASP - St. Jacinta Marto E.S.,Child Care Centre,Active,40,Fallowfield Road,Brampton,ON,L6X 0W1,Province of Ontario
4208,PLASP - St. Jean Brebeuf Catholic School,Child Care Centre,Active,63,Glenforest Road,Brampton,ON,L6S 1L8,Province of Ontario
4209,PLASP - St. Jean-Marie Vianney,Child Care Centre,Active,75,Jordensen Drive,Brampton,ON,L4Z 3E9,Province of Ontario
4210,PLASP - St. Jerome Catholic School,Child Care Centre,Active,790,Paisley Boulevard,Mississauga,ON,L5C 3P5,Province of Ontario
4211,PLASP - St. John Henry Newman C.S.,Child Care Centre,Active,698,Balmoral Drive,Brampton,ON,L6T 1Z1,Province of Ontario
4212,PLASP - St. John Paul II,Child Care Centre,Active,9094,Bolton Heights Road,Bolton,ON,L7E 5R8,Province of Ontario
4213,PLASP - St. Josephine Bakhita,Child Care Centre,Active,430,Van Kirk Drive,Brampton,ON,L4Z 3E9,Province of Ontario
4214,PLASP - St. Luke Catholic School,Child Care Centre,Active,1280,Cobalt Street,Mississauga,ON,L5H 4L8,Province of Ontario
4215,PLASP - St. Margaret of Scotland Catholic School,Child Care Centre,Active,2266,Council Ring Road,Mississauga,ON,L5L 1C1,Province of Ontario
4216,PLASP - St. Marguerite Bourgeoys Catholic School,Child Care Centre,Active,550,North Park Drive,Brampton,ON,L6S 4J8,Province of Ontario
4217,PLASP - St. Mark Catholic School,Child Care Centre,Active,3675,Sawmill Valley Drive,Mississauga,ON,L5L 2Z5,Province of Ontario
4218,PLASP - St. Monica Catholic School,Child Care Centre,Active,60,Sterritt Drive,Brampton,ON,L6Y 5B6,Province of Ontario
4219,PLASP - St. Patrick C.S.,Child Care Centre,Active,11948,The Gore Road,Brampton,ON,L6P 0A2,Province of Ontario
4220,PLASP - St. Philip Catholic School,Child Care Centre,Active,345,Fairview Road,Mississauga,ON,L5B 3W5,Province of Ontario
4221,PLASP - St. Pio of Pietrelcina,Child Care Centre,Active,4765,Huron Heights Drive,Mississauga,ON,L4Z 4G9,Province of Ontario
4222,PLASP - St. Raphael Catholic School,Child Care Centre,Active,3470,Clara Drive,Mississauga,ON,L4T 2C7,Province of Ontario
4223,PLASP - St. Rita Catholic School,Child Care Centre,Active,30,Summer Valley Drive,Brampton,ON,L6Z 2V7,Province of Ontario
4224,PLASP - St. Stephen Catholic School,Child Care Centre,Active,17,Colonel Bertram Road,Brampton,ON,L6Z 4N8,Province of Ontario
4225,PLASP - St. Teresa of Avila,Child Care Centre,Active,6675,Montevideo Road,Mississauga,ON,L5N 4E8,Province of Ontario
4226,PLASP - St. Teresa of Calcutta Catholic School,Child Care Centre,Active,1120,Runningbrook Drive,Mississauga,ON,L4Y 2T2,Province of Ontario
4227,PLASP - St. Therese of the Child Jesus C.S.,Child Care Centre,Active,6930,Forest Park Drive,Mississauga,ON,L5N 6X7,Province of Ontario
4228,PLASP - St. Thomas More Catholic School,Child Care Centre,Active,3270,Tomken Road,Mississauga,ON,L4Y 2Y7,Province of Ontario
4229,PLASP - St. Timothy C.S.,Child Care Centre,Active,2214,Cliff Road,Mississauga,ON,L5A 2N9,Province of Ontario
4230,PLASP - St. Ursula Catholic School,Child Care Centre,Active,11,Dwellers Road,Brampton,ON,L6X 5C1,Province of Ontario
4231,PLASP - St. Veronica Catholic School,Child Care Centre,Active,680,Novo Star Drive,Mississauga,ON,L5W 1C7,Province of Ontario
4232,PLASP - St. Vincent de Paul Catholic School,Child Care Centre,Active,665,Willowbank Trail,Mississauga,ON,L4W 3L6,Province of Ontario
4233,PLASP - Sts. Martha and Mary Catholic School,Child Care Centre,Active,1760,Bough Beeches Boulevard,Mississauga,ON,L4W 2B9,Province of Ontario
4234,PLASP - Tecumseh Public School,Child Care Centre,Active,1480,Chriseden Drive,Mississauga,ON,L5H 1V4,Province of Ontario
4235,PLASP - Thornwood Public School,Child Care Centre,Active,277,Mississauga Valley Boulevard,Mississauga,ON,L5A 1Y6,Province of Ontario
4236,PLASP - Treeline Public School,Child Care Centre,Active,145,Treeline Boulevard,Brampton,ON,L4Z 3E9,Province of Ontario
4237,PLASP - Trelawny Public School,Child Care Centre,Active,3420,Trelawny Circle,Mississauga,ON,L5N 6N6,Province of Ontario
4238,PLASP - Tribune Drive P.S.,Child Care Centre,Active,30,Tribune Drive,Brampton,ON,L7A 0X5,Province of Ontario
4239,PLASP - Vista Heights Public School,Child Care Centre,Active,89,Vista Boulevard,Mississauga,ON,L5M 1V8,Province of Ontario
4240,PLASP - WHITEHORN PUBLIC SCHOOL,Child Care Centre,Active,5785,Whitehorn Avenue,Mississauga,ON,L5V 2A9,Province of Ontario
