,name,source_facility_type,capacity,infant,toddler,facility_type,city,full_address,postal_code,provider
1766,GARDERIE ÉDUCATIVE ET PRÉMATERNELLE LE MONDE DES MERVEILLES INC.,GARD,80.0,,,Day Care,Saint-Léonard,"8500, boulevard Langelier",H1P 3C5,Province of Quèbec
1767,GARDERIE ÉDUCATIVE LA REINE DES NEIGES INC.,GARD,51.0,,,Day Care,Saint-Léonard,"4820, rue Jean-Talon Est",H1S 1K2,Province of Quèbec
1768,GARDERIE ÉDUCATIVE PICCOLI BOUTCHOUX,GARD,38.0,,,Day Care,Saint-Léonard,"8446, boulevard Langelier",H1P 2C2,Province of Quèbec
1769,GARDERIE ÉTOILE DU MATIN,GARD,60.0,Y,Y,Day Care,Saint-Léonard,"6055, rue La Dauversière",H1S 1R5,Province of Quèbec
1770,JARDIN D'ENFANTS MA PREMIÈRE CLASSE INC.,GARD,60.0,Y,Y,Day Care,Saint-Léonard,"6065, rue Bélanger",H1T 3T4,Province of Quèbec
1771,L'UNIVERS DE LOULOU,GARD,52.0,,,Day Care,Saint-Léonard,"8936, boulevard Langelier",H1P 3C8,Province of Quèbec
1772,LE PETIT MONDE DE MERIEM INC.,GARD,34.0,,,Day Care,Saint-Léonard,"6275, rue Jarry Est",H1P 1W1,Province of Quèbec
1773,LE ROYAUME DE LUCIE INC.,GARD,67.0,Y,Y,Day Care,Saint-Léonard,"8952, boulevard Langelier",H1P 3C8,Province of Quèbec
1774,LES AMIS DE YANI,GARD,30.0,,,Day Care,Saint-Léonard,"6234, rue Jean-Talon Est",H1S 1M8,Province of Quèbec
1775,PRÉ-MARTERNELLE ACADÉMIE ÉDUCATIVE PREMIÈRE ÉTAPE,GARD,18.0,,,Day Care,Saint-Léonard,"5676, rue Jarry Est",H1P 1V4,Province of Quèbec
1776,PRÉ-MATERNELLE IMAGINATION / IMAGINATION PRE-KINDERGARTEN,GARD,25.0,,,Day Care,Saint-Léonard,"4565, rue de Viterbe",H1S 1H2,Province of Quèbec
1777,AU COQUELICOT GÉANT INC.,CPE,44.0,Y,Y,Day Care,Sainte-Anne-de-Bellevue,"305, boulevard des Anciens-Combattants",H9X 1Y9,Province of Quèbec
1778,CENTRE DE LA PETITE ENFANCE DU CAMPUS/CAMPUS EARLY CHILDHOOD CENTRE,CPE,60.0,Y,Y,Day Care,Sainte-Anne-de-Bellevue,"1, rue Maple",H9X 2E3,Province of Quèbec
1779,CENTRE ÉDUCATIF À CIEL OUVERT (STE-ANNE),GARD,80.0,Y,Y,Day Care,Sainte-Anne-de-Bellevue,"180, rue Zénon-Gareau",H9X 4C8,Province of Quèbec
1780,CENTRE DE LA PETITE ENFANCE LUMINOU,CPE,80.0,Y,Y,Day Care,Sainte-Geneviève,"16115, boulevard Gouin Ouest",H9H 1C7,Province of Quèbec
1781,GARDERIE LES PETITS ANGES,GARD,51.0,,,Day Care,Sainte-Geneviève,"19, rue Paiement",H9H 2S6,Province of Quèbec
1782,GARDERIE RAFIKKI ET MOI,GARD,48.0,,,Day Care,Sainte-Geneviève,"15734, boulevard Gouin Ouest",H9H 1C4,Province of Quèbec
